画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShippingLotList	出荷期限管理一覧	wms	clientCd	荷主		1	1		1	1													
ShippingLotList	出荷期限管理一覧	wms	productCd	商品CD		1	1		0	1													
ShippingLotList	出荷期限管理一覧	wms	customerCd	納品先CD		1	1		0	1													
ShippingLotList	出荷期限管理一覧	wms	search	検索		1	1		0	1													
ShippingLotList	出荷期限管理一覧	wms	excelOutput	Excel出力		1	1		0	1													
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mproduct.productCd	商品CD	1	text	1	0		0	245				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mproduct.productNm	商品名称	2	text	1	0		0	300				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mproduct.productAbbr	商品略称	3	text	1	0		0	300				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mproduct.janCd	ソースCD	4	text	1	0		0	205				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mcustomer.customerCd	納品先CD	5	text	1	0		0	200				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mcustomer.customerNm	納品先名称	6	text	1	0		0	300				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mcustomer.customerAbbr	納品先略称	7	text	1	0		0	300				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	shippingDt	出荷日	8	date	1	0		0	150				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	tlot.limitDt	期限日	9	date	1	1		1	150				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	tlot.lot	ロット	10	text	1	1		0	170				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mproduct.mclient.clientCd	荷主CD	11	text	1	0		0	170				
ShippingLotList	出荷期限管理一覧	wms	shippingLotList	出荷期限管理一覧グリッド	grid	1	1		0	1	mproduct.mclient.clientNm	荷主名称	12	text	1	0		0	200				
ShippingLotList	出荷期限管理一覧	wms	register	登録		1	1		0	1													
