画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
ShippingPlanBulkInput	出荷指示一括取込	wms	centerCd	センタ		1	1		1	1													
ShippingPlanBulkInput	出荷指示一括取込	wms	clientCd	荷主		1	1		1	1													
ShippingPlanBulkInput	出荷指示一括取込	wms	excelUpload	ファイル取込		1	1		0	1													
ShippingPlanBulkInput	出荷指示一括取込	wms	register	登録		1	1		0	1													
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	lineNo	No.	1	number	1	0	right	0	60			1	60
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.emergencyFlg	緊急フラグ	2	text	1	0		0	95	2		2	120
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.clientShippingNo	顧客出荷指示No.	3	text	1	0		0	260	3		3	260
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.mcustomerBySupplyCustomerId.customerCd	納品先CD	4	text	1	0		0	200	4		4	200
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.mcustomerBySupplyCustomerId.customerNm	納品先名称	5	text	1	0		0	300			5	300
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.mcustomerBySupplyCustomerId.customerAbbr	納品先略称	6	text	1	0		0	300			6	300
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.mprocessType.processTypeCd	処理区分	7	text	1	0		0	170	7		7	170
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.delivPlanDt	納品予定日	8	text	1	0		0	150	8		8	150
ShippingPlanBulkInput	出荷指示一括取込	wms	shippingPlan	出荷指示一括取込グリッド	grid	1	1		0	1	tshippingInstH.workDt	作業日	9	text	1	0		0	150	9		9	150
