画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
StockList	在庫問合せ	wms	centerCd	センタ		1	1		1	1													
StockList	在庫問合せ	wms	clientCd	荷主		1	1		1	1													
StockList	在庫問合せ	wms	warehouseCd	倉庫		1	1		0	0													
StockList	在庫問合せ	wms	zone	ゾーン		1	1		0	0													
StockList	在庫問合せ	wms	stockdisplayfld	在庫表示内容		1	1		1	1													
StockList	在庫問合せ	wms	dataTime	日付		1	1		1	1													
StockList	在庫問合せ	wms	productCd	商品CD		1	1		0	0													
StockList	在庫問合せ	wms	locationCdFrom	ロケーションCD(From)		1	1		0	0													
StockList	在庫問合せ	wms	locationCdTo	ロケーションCD(To)		1	1		0	0													
StockList	在庫問合せ	wms	janCd	ソースCD		1	1		0	0													
StockList	在庫問合せ	wms	customerCd	預託		1	1		0	0													
StockList	在庫問合せ	wms	stockTypeCd	在庫区分		1	1		0	0													
StockList	在庫問合せ	wms	limitDtFrom	期限日(From)		1	1		0	0													
StockList	在庫問合せ	wms	limitDtTo	期限日(To)		1	1		0	0													
StockList	在庫問合せ	wms	limitDtNum	期限日数		1	1	right	0	0													
StockList	在庫問合せ	wms	lot	ロット		1	1		0	0													
StockList	在庫問合せ	wms	stockNumDisplay	在庫数 0非表示		1	1		0	1													
StockList	在庫問合せ	wms	chargeNumDisplay	引当可能数 0非表示		1	1		0	1													
StockList	在庫問合せ	wms	display	在庫受払 0非表示		1	1		0	1													
StockList	在庫問合せ	wms	transitDisplay	積送中在庫のみ表示		1	1		0	1													
StockList	在庫問合せ	wms	search	検索		1	1		0	1													
