画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
StockMoveInstList	在庫移動指示明細	wms	centerCd	センタ		1	0		0	1													
StockMoveInstList	在庫移動指示明細	wms	clientCd	荷主		1	0		0	1													
StockMoveInstList	在庫移動指示明細	wms	instDt	指示日		1	0		0	1													
StockMoveInstList	在庫移動指示明細	wms	processTypeCd	処理区分		1	0		0	1													
StockMoveInstList	在庫移動指示明細	wms	moveSlipNo	WMS在庫移動伝票No.		1	0		0	1													
StockMoveInstList	在庫移動指示明細	wms	moveInstStatus	在庫移動指示ステータス		1	0		0	1													
StockMoveInstList	在庫移動指示明細	wms	moveInstComment	在庫移動指示備考		1	0		0	1													
StockMoveInstList	在庫移動指示明細	wms	stockMoveInstListDetail	在庫移動指示明細グリッド	grid	1	0		0	1	moveInstStatus	在庫移動ステータスCD	1	text	1	0		0	200			1	270
StockMoveInstList	在庫移動指示明細	wms	stockMoveInstListDetail	在庫移動指示明細グリッド	grid	1	0		0	1	bclassDtlByMoveInstStatus.vdict.dictNm	在庫移動ステータス名称	2	text	1	0		0	200			2	270
StockMoveInstList	在庫移動指示明細	wms	stockMoveInstListDetail	在庫移動指示明細グリッド	grid	1	0		0	1	mwarehouse.warehouseCd	倉庫CD	3	text	1	0		0	170			3	170
StockMoveInstList	在庫移動指示明細	wms	stockMoveInstListDetail	在庫移動指示明細グリッド	grid	1	0		0	1	mwarehouse.warehouseNm	倉庫名称	4	text	1	0		0	170			4	170
StockMoveInstList	在庫移動指示明細	wms	stockMoveInstListDetail	在庫移動指示明細グリッド	grid	1	0		0	1	mproduct.productCd	商品CD	5	text	1	0		0	245			5	245
StockMoveInstList	在庫移動指示明細	wms	stockMoveInstListDetail	在庫移動指示明細グリッド	grid	1	0		0	1	mproduct.productNm	商品名称	6	text	1	0		0	300			6	300
StockMoveInstList	在庫移動指示明細	wms	stockMoveInstListDetail	在庫移動指示明細グリッド	grid	1	0		0	1	mproduct.productAbbr	商品略称	7	text	1	0		0	300			7	300
