画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
StockSetInstListPrint	セット組指示書発行	wms	centerCd	センタ		1	1		1	1													
StockSetInstListPrint	セット組指示書発行	wms	clientCd	荷主		1	1		1	1													
StockSetInstListPrint	セット組指示書発行	wms	productCd	親商品CD		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	depositCd	預託		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	stockTypeCd	在庫区分		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	locationCdFrom	ロケーションCD(From)		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	locationCdTo	ロケーションCD(To)		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	lot	ロット		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	limitDtFrom	期限日(From)		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	limitDtTo	期限日(To)		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	storeDtFrom	入庫日(From)		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	storeDtTo	入庫日(To)		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	register	発行		1	1		0	1													
StockSetInstListPrint	セット組指示書発行	wms	printCondition	発行状況		1	1		0	1													
