画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
VendorMasterSearch	仕入先マスタ検索	wms	clientCd	荷主		1	1		1	1													
VendorMasterSearch	仕入先マスタ検索	wms	vendorCd	仕入先CD		1	1		0	1													
VendorMasterSearch	仕入先マスタ検索	wms	vendorNm	仕入先名称		1	1		0	1													
VendorMasterSearch	仕入先マスタ検索	wms	search	検索		1	1		0	1													
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	customerCd	仕入先CD	1	text	1	0		0	200				
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	customerNm	仕入先名称	2	text	1	0		0	300				
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	customerAbbr	仕入先略称	3	text	1	0		0	250				
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	address1	住所1	4	text	1	0		0	300				
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	zipCd	郵便番号	5	text	1	0		0	125				
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	telNo	電話番号	6	text	1	0		0	250				
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	mclient.clientCd	荷主CD	7	text	1	0		0	200				
VendorMasterSearch	仕入先マスタ検索	wms	list	仕入先マスタ検索グリッド	grid	1	1		0	1	mclient.clientNm	荷主名称	8	text	1	0		0	200				
VendorMasterSearch	仕入先マスタ検索	wms	close	閉じる		1	1		0	1													
VendorMasterSearch	仕入先マスタ検索	wms	selection	選択		1	1		0	1													
