画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	clientCd	荷主		1	0		0	1													
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	vendorCd	仕入先CD		1	1		0	1													
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	vendorNm	仕入先名称		1	1		0	1													
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	search	検索		1	1		0	1													
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	list	仕入先マスタ検索グリッド	grid	1	1		0	1	customerCd	仕入先CD	1	text	1	0		0	200				
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	list	仕入先マスタ検索グリッド	grid	1	1		0	1	customerNm	仕入先名称	2	text	1	0		0	300				
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	close	閉じる		1	1		0	1													
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	selection	選択		1	1		0	1													
VendorMasterSearchSD	仕入先マスタ検索	wms_sd	searchResultTitle	合計件数		1	1		0	1													
