CLASS_DTL_ID	CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
1	1	1	2326	1	0
2	1	2	1130	2	0
3	2	0	2089	1	0
4	2	1	2106	2	0
5	2	2	2107	3	0
6	2	3	2108	4	0
7	3	0	1750	1	0
8	3	1	1751	2	0
9	4	0	1748	1	0
10	4	1	1749	2	0
11	5	limitDt	313	1	0
12	5	locationCd	262	2	0
13	5	locationOrder	1983	3	0
14	5	lot	266	4	0
15	5	lotOrder	268	5	0
16	5	storeDt	583	6	0
17	5	storeLabelNo	573	7	0
18	5	zoneCd	211	8	0
19	6	0	1851	1	0
20	6	1	1852	2	0
21	7	YMTFMT	2137	1	0
22	7	YUPKFMT	2138	2	0
23	8	0	1755	1	0
24	8	1	1754	2	0
25	9	1	481	1	0
26	9	2	444	2	0
27	10	0	2087	1	0
28	10	1	2088	2	0
29	11	0	1755	1	0
30	11	1	1754	2	0
31	12	CODABAR	2095	1	0
32	12	CODE128	2094	2	0
33	12	CODE39	2093	3	0
34	12	ITF	2097	4	0
35	12	JAN	2096	5	0
36	13	0	1759	1	0
37	13	1	1758	2	0
38	14	0	2098	1	0
39	14	1	2099	2	0
40	15	0	1815	1	0
41	15	1	1819	2	0
42	16	0	2104	1	0
43	16	1	2105	2	0
44	17	1	5142	1	0
45	17	2	734	2	0
46	18	0	1791	1	0
47	18	1	2040	2	0
48	19	MS932	1986	1	0
49	19	UTF8	2035	2	0
50	20	0	1823	1	0
51	20	1	1824	2	0
52	21	0	1839	1	0
53	21	7	1840	2	0
54	22	0	1886	1	0
55	22	1	1979	2	0
56	22	2	1980	3	0
57	22	3	1981	4	0
58	23	0	1884	1	0
59	23	1	1885	2	0
60	24	1	2036	1	0
61	24	2	2037	2	0
62	25	0	2036	1	0
63	25	1	2037	2	0
64	25	2	2042	3	0
65	26	calcnumber	2889	1	0
66	26	checkbox	1929	2	0
67	26	date	864	3	0
68	26	datetime	1917	4	0
69	26	dropdown	1928	5	0
70	26	number	1916	6	0
71	26	text	1915	7	0
72	27	0	2415	1	0
73	27	1	2416	2	0
74	28	0	1883	1	0
75	28	1	1884	2	0
76	29	0	1791	1	0
77	29	1	1993	2	0
78	29	2	1994	3	0
79	30	0	2032	1	0
80	30	1	2033	2	0
81	30	2	2034	3	0
82	31	MCarrierSlipSgw	2624	1	0
83	31	MCarrierSlipYmt	2625	2	0
84	31	MCarrierSlipYupk	2626	3	0
85	31	MCenterCol	2621	4	0
86	31	MCenterItem	2622	5	0
87	31	MCenterScreen	2623	6	0
88	32	0	1865	1	0
89	32	1	1866	2	0
90	33	0	1968	1	0
91	33	1	1969	2	0
92	34	0	1782	1	0
93	34	1	1241	2	0
94	34	2	1242	3	0
95	34	3	1243	4	0
96	35	0	1966	1	0
97	35	1	1967	2	0
98	36	0	1799	1	0
99	36	1	1964	2	0
100	36	2	1965	3	0
101	37	01	1961	1	0
102	37	02	2061	2	0
103	37	03	1962	3	0
104	37	04	1963	4	0
105	37	05	1960	5	0
106	37	06	2133	6	0
107	37	07	2134	7	0
108	37	08	2135	8	0
109	37	09	2136	9	0
110	38	date	864	1	0
111	38	datetime	1917	2	0
112	38	number	1916	3	0
113	38	text	1915	4	0
114	38	time	136	5	0
115	39	0	1837	1	0
116	39	1	1838	2	0
117	40	0	1837	1	0
118	40	1	1838	2	0
119	41	0	1815	1	0
120	41	1	1819	2	0
121	42	0	1755	1	0
122	42	1	1754	2	0
123	43	0	2306	1	0
124	43	1	2307	2	0
125	44	A	1800	1	0
126	44	B	1801	2	0
127	44	C	1802	3	0
128	44	D	1803	4	0
129	44	E	1804	5	0
130	44	F	1805	6	0
131	44	G	1806	7	0
132	44	H	1807	8	0
133	44	I	1808	9	0
134	44	J	1809	10	0
135	45	0	1760	1	0
136	45	1	1761	2	0
137	46	0	1755	1	0
138	46	1	1754	2	0
139	47	0	1931	1	0
140	47	1	600	2	0
141	48	0	2258	1	0
142	48	1	443	2	0
143	48	2	387	3	0
144	49	0	1945	1	0
145	49	1	1912	2	0
146	50	0	1819	1	0
147	50	1	1820	2	0
148	51	0	1791	1	0
149	51	1	1786	2	0
150	52	0	1762	1	0
151	52	1	957	2	0
152	53	0	2068	1	0
153	53	1	2069	2	0
154	54	0	2038	1	0
155	55	0	1792	1	0
156	55	1	1793	2	0
157	56	0	1744	1	0
158	56	1	1745	2	0
159	57	0	2304	1	0
160	57	1	2305	2	0
161	58	0	1791	1	0
162	58	1	2360	2	0
163	58	2	2361	3	0
164	59	0	1755	1	0
165	59	1	1754	2	0
166	60	0	2310	1	0
167	60	1	2311	2	0
168	61	0	1814	1	0
169	61	1	1815	2	0
170	62	0	1863	1	0
171	62	1	1864	2	0
172	63	^([0-1][0-9]|[2][0-3]):[0-5][0-9]$	1926	1	0
173	63	^([0-1][0-9]|[2][0-3]):[0-5][0-9]:[0-5][0-9]$	2048	2	0
174	63	^[ -~｡-ﾟ]*$	1924	3	0
175	63	^[!-~]*$	1927	4	0
176	63	^[0-9\-]*$	1919	5	0
177	63	^[0-9]*$	1918	6	0
178	63	^[0-9a-zA-Z\-]*$	1921	7	0
179	63	^[0-9a-zA-Z]*$	1920	8	0
180	63	^[^ -~｡-ﾟ]*$	1925	9	0
181	63	^[a-zA-Z\-]*$	1923	10	0
182	63	^[a-zA-Z]*$	1922	11	0
183	64	00	1781	1	0
184	64	10	1782	2	0
185	64	20	1783	3	0
186	64	30	1784	4	0
187	65	0	1848	1	0
188	65	1	1849	2	0
189	65	7	1850	3	0
190	66	0	1892	1	0
191	66	1	1891	2	0
192	67	0	1867	1	0
193	67	1	1868	2	0
194	68	checkbox	1929	1	0
195	68	date	864	2	0
196	68	datetime	1917	3	0
197	68	dropdown	1928	4	0
198	68	grid	1930	5	0
199	68	number	1916	6	0
200	68	text	1915	7	0
201	69	0	1910	1	0
202	69	1	1909	2	0
203	70	0	1753	1	0
204	70	1	1752	2	0
205	71	0	1753	1	0
206	71	1	1752	2	0
207	72	inputLimitCheckAlphabetAndHyphenOnlyError	1940	1	0
208	72	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError	1938	2	0
209	72	inputLimitCheckAlphabetAndNumericAndSymbolOnlyError	1944	3	0
210	72	inputLimitCheckAlphabetAndNumericOnlyError	1937	4	0
211	72	inputLimitCheckAlphabetOnlyError	1939	5	0
212	72	inputLimitCheckFullWidthOnlyError	1942	6	0
213	72	inputLimitCheckHalfWidthOnlyError	1941	7	0
214	72	inputLimitCheckNumericAndHyphenOnlyError	1936	8	0
215	72	inputLimitCheckNumericOnlyError	1935	9	0
216	72	inputLimitCheckTimeHHMMSSOnlyError	2049	10	0
217	72	inputLimitCheckTimeOnlyError	1943	11	0
218	73	1	2357	1	0
219	73	2	2358	2	0
220	73	3	2359	3	0
221	74	0	1796	1	0
222	74	1	1797	2	0
223	75	0	1796	1	0
224	75	1	1797	2	0
225	75	2	1798	3	0
226	76	0	1796	1	0
227	76	1	1797	2	0
228	76	2	1799	3	0
229	77	0	1848	1	0
230	77	1	1849	2	0
231	78	00	1742	1	0
232	78	01	1743	2	0
233	79	0	2046	1	0
234	79	1	2047	2	0
235	80	1	1900	1	0
236	80	2	1901	2	0
237	80	3	1766	3	0
238	81	1	1896	1	0
239	81	2	1897	2	0
240	81	3	1898	3	0
241	81	4	1899	4	0
242	82	1	1758	1	0
243	82	2	1893	2	0
244	82	3	1894	3	0
245	83	0	1753	1	0
246	83	1	1752	2	0
247	84	0	1753	1	0
248	84	1	1752	2	0
249	85	00	1859	1	0
250	85	01	1861	2	0
251	85	02	1862	3	0
252	86	0	2366	1	0
253	86	1	2367	2	0
254	87	confirm	1120	1	0
255	87	error	1766	2	0
256	87	info	1900	3	0
257	87	warn	1901	4	0
258	88	0	2058	1	0
259	88	1	1741	2	0
260	89	00	1855	1	0
