CLASS_GRP_DTL_ID	CLASS_DTL_ID	CLASS_GRP_ID	DEFAULT_FLG
1	292	1	0
2	295	1	0
3	296	1	0
4	297	1	0
5	298	1	0
6	299	1	0
7	300	1	0
8	301	1	0
9	302	1	0
10	303	1	0
11	314	2	0
12	317	2	0
13	318	2	0
14	319	2	0
15	320	2	0
16	321	2	0
17	322	2	0
18	323	2	0
19	324	2	0
20	325	2	0
21	456	3	0
22	456	4	0
23	459	3	0
24	459	4	0
25	459	5	0
26	460	3	0
27	460	4	0
28	460	5	0
29	461	3	0
30	461	4	0
31	461	5	0
32	462	3	0
33	462	4	0
34	462	5	0
35	463	3	0
36	463	4	0
37	463	5	0
38	464	3	0
39	464	4	0
40	464	5	0
41	465	3	0
42	465	4	0
43	465	5	0
44	466	3	0
45	466	4	0
46	467	3	0
47	467	4	0
