SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
247	AutoPrintBulkPrinterChangeEdit	96	base
248	AutoPrintBulkPrinterChangeList	95	base
249	ClassEdit	1110	base
250	ClassGrpDtlEdit	1101	base
251	ClassGrpEdit	1026	base
252	ClassList	1009	base
253	DictCultureMaster	1015	base
254	DictMaster	1027	base
255	GridColExtBaseEdit	23	base
256	GridColExtDialog	22	base
257	InfoMaster	1055	base
258	LiteLogin	28	base
259	LiteLoginPwdMgt	1024	base
260	LogDtlBrowse	27	base
261	LogDtlList	1053	base
262	LogList	1052	base
263	MainMenu	1	base
264	MenuGrpEdit	1113	base
265	MenuGrpList	1035	base
266	MessageMaster	1175	base
267	PasswordChange	34	base
268	PrinterAttributeList	55	base
269	PrinterGroupList	48	base
270	PrinterList	53	base
271	PrintRequestHistBrowse	108	base
272	PrintRequestHistList	59	base
273	PrintRequestList	57	base
274	PrintRequestParam	3	base
275	PrintServiceEdit	52	base
276	PrintServiceList	50	base
277	PropertyMaster	150	base
278	ReportLayoutCopy	1548	base
279	ReportLayoutEdit	1262	base
280	ReportLayoutList	1257	base
281	ReportLayoutUpload	10	base
282	ReportMaster	147	base
283	RoleGrpEdit	1070	base
284	RoleGrpList	1085	base
285	RoleList	1068	base
286	RoleListCopy	1627	base
287	ScreenColEdit	1104	base
288	ScreenColRoleEdit	1089	base
289	ScreenItemEdit	1103	base
290	ScreenItemRoleEdit	1066	base
291	ScreenList	1105	base
292	ScreenListMasterCopy	1626	base
293	ScreenRoleEdit	1084	base
294	SystemEdit	61	base
295	TerminalSetting	153	base
296	UserAutoPrintSettingEdit	94	base
297	UserAutoPrintSettingList	92	base
298	UserList	1023	base
299	UserMgt	1024	base
300	UserMgtCopy	1024	base
301	UserMgtRegisterNew	1024	base
302	UserMgtUpdate	1024	base
303	AllocateControlMasterEdit	5380	wms
304	AllocateControlMasterList	5379	wms
305	AttendanceEntry	3332	wms
306	BarcodeLabelBulkPrint	1617	wms
307	BillOfLadingPrint	3131	wms
308	BondedReceiveConfirm	3403	wms
309	BondedShippingRelationListPrint	3408	wms
310	BoxGroupMasterEdit	1541	wms
311	BoxGroupMasterList	1540	wms
312	BoxMaster	698	wms
313	CardboardMoveHistory	3434	wms
314	CarrierMasterEdit	1691	wms
315	CarrierMasterList	735	wms
316	CarrierSlipCESMaster	3088	wms
317	CarrierSlipCESMasterEdit	3089	wms
318	CarrierSlipSgwMaster	1449	wms
319	CarrierSlipSgwMasterEdit	1297	wms
320	CarrierSlipYmtMaster	1448	wms
321	CarrierSlipYmtMasterEdit	1289	wms
322	CarrierSlipYupkMaster	1450	wms
323	CarrierSlipYupkMasterEdit	1364	wms
324	CasePickingSD	2575	wms_sd
325	CenterClassEdit	1254	wms
326	CenterClassGrpDtlEdit	1256	wms
327	CenterClassGrpEdit	1255	wms
328	CenterClassList	1253	wms
329	CenterClientScreenColMaster	1135	wms
330	CenterClientScreenItemMaster	1090	wms
331	CenterClientScreenMaster	1073	wms
332	CenterMasterEdit	720	wms
333	CenterMasterList	702	wms
334	CenterProductControlMasterEdit	5242	wms
335	CenterProductControlMasterList	5241	wms
336	CenterRelatedCopy	2611	wms
337	ClassLabelPrint	956	wms
338	ClientMaster	699	wms
339	CustomerMasterBulkInput	1250	wms
340	CustomerMasterEdit	5161	wms
341	CustomerMasterList	3368	wms
342	Daily	988	wms
343	DamagedItemResistration	3443	wms
344	DataInput	1236	wms
345	DeliveryCourseMasterEdit	707	wms
346	DeliveryCourseMasterList	695	wms
347	DeliveryCourseSearch	703	wms
348	DeliveryCourseSearchSD	703	wms_sd
349	DeliveryCourseShippingList	806	wms
350	DeliveryMasterSearch	696	wms
351	DeliveryMasterSearchSD	696	wms_sd
352	DeliverySlipListPrint	987	wms
353	DispatchRecordInput	5813	wms
354	DispatchRecordInputEdit	5812	wms
355	EcDelivAddressModify	2369	wms
356	EcOrderBulkInput	2300	wms
357	EcOrderList	2247	wms
358	EcShippingTagDataOutput	2254	wms
359	EdiEdit	2323	wms
360	EdiList	2315	wms
361	FormatBarcodeLabelBulkPrint	1625	wms
362	FormatCustomerMasterBulkInput	1222	wms
363	FormatLocationMasterBulkInput	1224	wms
364	FormatMProductShapeBulkInput	1228	wms
365	FormatProductMasterBulkInput	1220	wms
366	FormatReceivePlanBulkInput	1216	wms
367	FormatSerialNoBulkInput	2573	wms
368	FormatShippingPlanBulkInput	1218	wms
369	FormatZoneMasterBulkInput	1226	wms
370	HTDictCultureMaster	1016	wms
371	HTDictMaster	1028	wms
372	HTMessageMaster	1176	wms
373	ImportTypeBCopyColumnInput	2372	wms
374	ImportTypeMasterEdit	2333	wms
375	ImportTypeMasterList	2332	wms
376	InstKeyList	3424	wms
377	InventoryBulkUpdate	939	wms
378	InventoryCreate	3423	wms
379	InventoryDateMasterEdit	5388	wms
380	InventoryDateMasterList	5387	wms
381	InventoryDiffListPrint	769	wms
382	InventoryHistory	1672	wms
383	InventoryHistorySearch	870	wms
384	InventoryInput	3425	wms
385	InventoryInputAddRow	860	wms
386	InventoryInputSD	861	wms_sd
387	InventoryReportPrint	3429	wms
388	InventoryWorkListPrint	868	wms
389	LocationBarcodeListPrint	722	wms
390	LocationMaster	694	wms
391	LocationMasterBulkInput	1393	wms
392	LocationMasterEdit	1392	wms
393	LocationMasterSearch	688	wms
394	LocationMasterSearchSD	688	wms_sd
395	ManualCommon	1200	wms
396	ManualEc	1244	wms
397	ManualGuidance	1199	wms
398	ManualHelp	1212	wms
399	ManualHt	1208	wms
400	ManualLabel	1246	wms
401	ManualPc	1204	wms
402	ManualSd	1210	wms
403	MatchingMaster	2327	wms
404	ModalError	3342	wms
405	ModalLargeErrorDialog	3227	wms
406	ModalLargeWarnDialog	3228	wms
407	ModalLargeWorkInstNum	3224	wms
408	MonthlyDesignChangeInfoMaster	5487	wms
409	MoveLabelPrint	1285	wms
410	NonconformityLabelPrint	3442	wms
411	NumberingCenterMaster	2600	wms
412	OrderPickingSD	2553	wms_sd
413	PackingHistory	1659	wms
414	PackingList	1649	wms
415	PackingListUpdate	835	wms
416	ParameterMasterEdit	1288	wms
417	PickingListPrint	993	wms
418	PickingListRePrint	3409	wms
419	PickingMethodRecommendation	3214	wms
420	PickingMethodRecommendationDetail	3216	wms
421	PickingSD	686	wms_sd
422	PieceShippingInspect	867	wms
423	PieceShippingInspectBox	895	wms
424	PieceShippingInspectSu	971	wms
425	ProcessTypeMaster	1283	wms
426	ProductMasterBulkInput	1233	wms
427	ProductMasterEdit	690	wms
428	ProductMasterList	689	wms
429	ProductMasterListNum	1616	wms
430	ProductMasterSearch	706	wms
431	ProductMasterSearchSD	706	wms_sd
432	ProductReceiveList	949	wms
433	ProductShapeMasterBulkInput	1526	wms
434	ProductShippingList	857	wms
435	ReceiveDesignMasterList	5601	wms
436	ReceiveHistory	1660	wms
437	ReceiveInput	947	wms
438	ReceiveInputNo	774	wms
439	ReceiveInspectionSD	2547	wms_sd
440	ReceivePartList	795	wms
441	ReceivePlanBulkInput	721	wms
442	ReceivePlanInput	773	wms
443	ReceivePlanListPrint	804	wms
444	ReceiveProductChangeMaster	3466	wms
445	ReceiveStatusProgress	1566	wms
446	ReferenceProductReceiveList	2894	wms
447	ReferenceProductShippingList	858	wms
448	ReferenceStockList	2899	wms
449	ReferenceTotalStockList	1452	wms
450	ReplenishInstBulkInput	3421	wms
451	ReplenishInstList	1494	wms
452	ReplenishStockTransferListPrint	3419	wms
453	ReplenishStockTransferListPrintDetail	5796	wms
454	SelectClient	163	wms
455	SerialNoBulkInput	2570	wms
456	SerialNoList	2559	wms
457	SetStructureEdit	1470	wms
458	SetStructureSearch	1476	wms
459	ShapeGroupMasterEdit	2912	wms
460	ShapeGroupMasterList	2911	wms
461	ShapeMaster	1522	wms
462	ShippingConfirmList	918	wms
463	ShippingConfirmListCarrierTraceNum	2981	wms
464	ShippingHistory	1665	wms
465	ShippingInputNoPlan	1001	wms
466	ShippingInstDetail	982	wms
467	ShippingInstList	828	wms
468	ShippingLotList	984	wms
469	ShippingPalleteInfoInquiry	3435	wms
470	ShippingPalleteInfoInquiryDetail	5572	wms
471	ShippingPlanBulkInput	974	wms
472	ShippingPlanInput	991	wms
473	ShippingStatusProgress	1563	wms
474	ShippingTagDataOutput	906	wms
475	ShippingUpdate	992	wms
476	ShippingWorkRefUpdate	912	wms
477	SingleRowShippingInspect	3209	wms
478	SlipNoReceiveList	781	wms
479	SortingPlaceMasterEdit	5353	wms
480	SortingPlaceMasterList	5352	wms
481	StockAdj	888	wms
482	StockBulkMove	2628	wms
483	StockCheck	3426	wms
484	StockInOutList	846	wms
485	StockList	862	wms
486	StockMove	978	wms
487	StockMoveBodyList	1642	wms
