SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
1	AttendanceEntryConfirmHT	3334	wms_ht
2	AttendanceEntryHT	3333	wms_ht
3	AttendanceEntryRegisterHT	3333	wms_ht
4	AttendanceEntryResultHT	3352	wms_ht
5	BondedOrderPickingMethod	3376	wms_ht
6	CaseInspectionPalletNumberBarcode	3373	wms_ht
7	ChangeReceivePlanStockTypeSelect	3375	wms_ht
8	ChangeStockStockTypeMethod	3386	wms_ht
9	ClientSelectHT	164	wms_ht
10	CommonCancelDialogHT	1120	wms_ht
11	CommonDeleteDialogHT	1120	wms_ht
12	CommonEndDialogHT	1120	wms_ht
13	CommonErrorDialogHT	1766	wms_ht
14	CommonResumeDialogHT	1856	wms_ht
15	CommonWarnDialogHT	1901	wms_ht
16	CreatePalletInfoMethod	3371	wms_ht
17	CustomerLabelBindingSortingBarcode	3382	wms_ht
18	HandyInputAuxiliaryHT	2674	wms_ht
19	InternalDutyFreeSortingReturn	3384	wms_ht
20	InventoryInputProductCancelHT	2801	wms_ht
21	InventoryInputProductDepositSelectHT	2803	wms_ht
22	InventoryInputProductHT	2663	wms_ht
23	InventoryInputProductJanCdHT	2804	wms_ht
24	InventoryInputProductKbnHT	2805	wms_ht
25	InventoryInputProductLimitDtHT	2806	wms_ht
26	InventoryInputProductListHT	2807	wms_ht
27	InventoryInputProductLocHT	2808	wms_ht
28	InventoryInputProductLotHT	2806	wms_ht
29	InventoryInputProductLotLimitDtHT	2806	wms_ht
30	InventoryInputProductQtyHT	2809	wms_ht
31	InventoryInputProductSelect	3396	wms_ht
32	InventoryInputProductSendHT	2812	wms_ht
33	InventoryInputProductSortingPlaceCartonQuantityHT	3395	wms_ht
34	InventoryInputProductSortingPlaceCompletedHT	3395	wms_ht
35	InventoryInputProductSortingPlaceDefectiveQuantityHT	3395	wms_ht
36	InventoryInputProductSortingPlaceInstListHT	3395	wms_ht
37	InventoryInputProductSortingPlaceLocationHT	3395	wms_ht
38	InventoryInputProductSortingPlaceProductionDateCollationHT	3395	wms_ht
39	InventoryInputProductSortingPlaceProductionDateWarnHT	3395	wms_ht
