ITEM_ID	SCREEN_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED
1346	247	beforePrinterGroupNm	70		1	0		0	1
1347	247	beforePrinterNm	98		1	0		0	1
1348	247	beforeTrayNm	99		1	0		0	1
1349	247	afterPrinterGroupNm	70		1	0		0	1
1350	247	afterPrinterId	100		1	1		0	1
1351	247	afterPrinterAttributeId	101		1	1		0	1
1352	247	update	842		1	1		0	1
1353	248	printerGroupId	70		1	1		0	1
1354	248	printerId	4		1	1		0	1
1355	248	search	731		1	1		0	1
1356	248	autoPrintBulkPrinterChangeListGrid	97	grid	1	1		0	1
1357	248	register	710		1	1		0	1
1358	248	update	842		1	1		0	1
1359	249	classCd	328		1	1		1	1
1360	249	classComment	334		1	1		1	1
1361	249	systemType	200		1	1		1	1
1362	249	classEdit	127	grid	1	1		0	1
1363	249	addRow	708		1	1		0	1
1364	249	removeRow	709		1	1		0	1
1365	249	register	710		1	1		0	1
1366	250	classCd	328		1	0		0	1
1367	250	classGrpCd	330		1	1		1	1
1368	250	search	731		1	1		0	1
1369	250	classGrpDtlList	126	grid	1	1		0	1
1370	250	register	710		1	1		0	1
1371	251	classCd	328		1	0		0	1
1372	251	classComment	334		1	0		0	1
1373	251	systemType	200		1	0		0	1
1374	251	addRow	708		1	1		0	1
1375	251	removeRow	709		1	1		0	1
1376	251	register	710		1	1		0	1
1377	251	classGrpMasterEdit	125	grid	1	1		0	1
1378	252	classCd	328		1	1		0	1
1379	252	classComment	334		1	1		0	1
1380	252	systemType	200		1	1		0	1
1381	252	search	731		1	1		0	1
1382	252	classList	128	grid	1	1		0	1
1383	252	classGrpUpdate	1107		1	1		0	1
1384	252	classGrpDtlUpdate	1108		1	1		0	1
1385	252	register	691		1	1		0	1
1386	252	update	692		1	1		0	1
1387	252	delete	805		1	1		0	1
1388	253	cultureId	1010		1	1		1	1
1389	253	dictNm	421		1	1		0	1
1390	253	search	731		1	1		0	1
1391	253	dictCultureList	133	grid	1	1		0	1
1392	253	register	710		1	1		0	1
1393	254	dictNm	421		1	1		0	1
1394	254	systemType	200		1	1		0	1
1395	254	search	731		1	1		0	1
1396	254	dictList	134	grid	1	1		0	1
1397	254	addRow	708		1	1		0	1
1398	254	removeRow	709		1	1		0	1
1399	254	register	710		1	1		0	1
1400	255	screenCd	307		1	1		0	1
1401	255	screenNm	1076		1	1		0	1
1402	255	systemType	200		1	1		0	1
1403	255	search	731		1	1		0	1
1404	255	screenList	122	grid	1	1		0	1
1405	255	selection	732		1	1		0	1
1406	256	close	733		1	1		1	1
1407	256	reset	24		1	1		1	1
1408	256	confirmed	710		1	1		1	1
1409	256	columnOrderTitle	25		1	0		0	1
1410	256	columnWithTitle	26		1	0		0	1
1411	257	infoDtFrom	1056		1	1		0	1
1412	257	infoDtTo	1057		1	1		0	1
1413	257	infoEnd	1058		1	1		0	1
1414	257	search	731		1	1		0	1
1415	257	excelOutput	719		1	1		0	1
1416	257	infoList	113	grid	1	1		0	1
1417	257	addRow	691		1	1		0	1
1418	257	modRow	692		1	1		0	1
1419	257	removeRow	805		1	1		0	1
1420	257	infoNm	1059		1	1		1	1
1421	257	infoStartDt	310		1	1		1	1
1422	257	infoEndDt	430		1	1		1	1
1423	257	register	710		1	1		0	1
1424	258	login	28		1	1		1	1
1425	258	loginId	29		1	1		1	1
1426	258	password	30		1	1		1	1
1427	259	register	710		1	1		1	1
1428	259	lockout	2047		1	1		1	1
1429	259	passwordReset	36		1	1		1	1
1430	259	passwordModifiedDate	37		1	0		0	1
1431	259	lastLoginDate	38		1	0		0	1
1432	259	failedLoginAttempts	40		1	0		0	1
1433	259	lastFailedLoginDate	39		1	0		0	1
1434	259	lockoutDate	41		1	0		0	1
1435	259	availableStartDateYmd	42		1	1		1	1
1436	259	availableStartTime	43		1	1		1	1
1437	259	availableEndDateYmd	44		1	1		1	1
1438	259	availableEndTime	45		1	1		1	1
1439	259	passwordChange	34		1	1		1	1
1440	260	close	733		1	1		0	1
1441	261	pgmCd	1039		1	0		0	1
1442	261	pgmNm	237		1	0		0	1
1443	261	logDtlList	119	grid	1	1		0	1
1444	261	logDtlBrowse	27		1	1		0	1
1445	262	logStatus	256		1	1		0	0
1446	262	processDtFrom	847		1	1		0	1
1447	262	processDtTo	848		1	1		0	1
1448	262	pgm	1038		1	1		0	0
1449	262	centerCd	5142		1	1		0	1
1450	262	clientCd	734		1	1		0	1
1451	262	search	731		1	1		0	1
1452	262	excelOutput	719		1	1		0	1
1453	262	AutomaticSearch	1050		1	1		0	1
1454	262	logList	118	grid	1	1		0	1
1455	262	detail	1051		1	1		0	1
1456	263	select	732		1	1		0	1
1457	264	menuGrpCd	245		1	1		1	1
1458	264	dictNm	1111		1	1		1	1
1459	264	parentMenuGrpId	1112		1	1		0	1
1460	264	visibleType	141		1	1		1	1
1461	264	viewOrder	5125		1	1		1	1
1462	264	menuGrpEdit	115	grid	1	1		0	1
1463	264	addRow	708		1	1		0	1
1464	264	removeRow	709		1	1		0	1
1465	264	register	710		1	1		0	1
1466	265	menuGrpCd	245		1	1		0	1
1467	265	dictNm	1111		1	1		0	1
1468	265	visibleType	141		1	1		0	1
1469	265	search	731		1	1		0	1
1470	265	menuGrpList	116	grid	1	1		0	1
1471	265	register	691		1	1		0	1
1472	265	update	692		1	1		0	1
1473	265	delete	805		1	1		0	1
1474	265	copy	1558		1	1		0	1
1475	266	messageCd	240		1	1		0	1
1476	266	messageNm	239		1	1		0	1
1477	266	messageType	503		1	1		0	1
1478	266	systemType	200		1	1		0	1
1479	266	cultureCd	1010		1	1		0	1
1480	266	search	731		1	1		0	1
1481	266	body	114	grid	1	1		0	1
1482	266	addRow	708		1	1		0	1
1483	266	removeRow	709		1	1		0	1
1484	266	register	710		1	1		0	1
1485	267	oldPassword	31		1	1		1	1
1486	267	newPassword	32		1	1		1	1
1487	267	newPasswordReEnter	33		1	1		1	1
1488	267	passwordChange	34		1	1		1	1
1489	267	cancel	1776		1	1		1	1
1490	267	closeSuccessMsgDialog	733		1	1		1	1
1491	267	closeWarningMsgDialog	733		1	1		1	1
1492	267	closeDangerMsgDialog	733		1	1		1	1
1493	267	passwordReset	47		1	1		1	1
1494	268	printerNm	234		1	1		0	1
1495	268	printerVisible	88		1	1		0	1
1496	268	printerGroupId	70		1	1		1	1
1497	268	trayNm	220		1	1		0	1
1498	268	trayVisible	89		1	1		0	1
1499	268	printerAttributeListGrid	56	grid	1	1		0	1
1500	268	search	731		1	1		0	1
1501	268	register	710		1	1		0	1
1502	268	remove	805		1	1		0	1
1503	269	printerGroupNm	62		1	1		0	1
1504	269	attribute1	63		1	1		0	1
1505	269	attribute2	64		1	1		0	1
1506	269	attribute3	65		1	1		0	1
1507	269	attribute4	66		1	1		0	1
1508	269	attribute5	67		1	1		0	1
1509	269	printerGroupListGrid	49	grid	1	1		0	1
1510	269	search	731		1	1		0	1
1511	269	addRow	708		1	1		0	1
1512	269	removeRow	709		1	1		0	1
1513	269	register	710		1	1		0	1
1514	269	remove	805		1	1		0	1
1515	270	printerNm	234		1	1		0	1
1516	270	visible	602		1	1		0	1
1517	270	printerGroupId	70		1	1		1	1
1518	270	printerListGrid	54	grid	1	1		0	1
1519	270	search	731		1	1		0	1
1520	270	register	710		1	1		0	1
1521	270	remove	805		1	1		0	1
1522	271	printRequestNo	85		1	0		0	1
1523	271	printerNm	4		1	0		0	1
1524	271	trayNm	7		1	0		0	1
1525	271	printNum	5		1	0		0	1
1526	271	sheetCollate	603		1	0		0	1
1527	271	printResult	86		1	0		0	1
1528	271	printDt	80		1	0		0	1
1529	271	queueAddDt	103		1	0		0	1
1530	271	processInfo	462		1	0		0	1
1531	271	close	733		1	1		0	1
1532	272	printRequestHistListGrid	60	grid	1	1		0	1
1533	272	printRequestHistBrowse	108		1	1		0	1
1534	273	reportCd	1258		1	1		0	0
1535	273	reportLayoutId	8		1	1		0	0
1536	273	printerGroupId	70		1	1		0	0
1537	273	printStatus	273		1	1		0	0
1538	273	printedFlg	79		1	1		0	0
1539	273	queueAddDtFromYmd	104		1	1		0	1
1540	273	queueAddDtFromTime	105		1	1		0	1
1541	273	queueAddDtToYmd	106		1	1		0	1
1542	273	queueAddDtToTime	107		1	1		0	1
1543	273	errorFlg	1965		1	1		0	0
1544	273	userCd	110		1	1		0	0
1545	273	printDataType	112		1	1		0	0
1546	273	search	731		1	1		0	1
1547	273	printRequestListGrid	58	grid	1	1		0	1
1548	273	reprint	87		1	1		0	1
1549	273	printRequestHistList	59		1	1		0	1
1550	273	printRequestHistBrowse	108		1	1		0	1
1551	274	printerId	4		1	1		1	1
1552	274	printNum	5		1	1		1	1
1553	274	collateFlg	6		1	1		1	1
1554	274	trayId	7		1	1		1	1
