COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1	1356	printerGroupNm	70	1	text	1	0		0	250		
2	1356	printerNm	234	2	text	1	0		0	300		
3	1356	trayNm	220	3	text	1	0		0	300		
4	1362	classDtlCd	335	1	text	1	1		1	300		
5	1362	vdict.dictNm	1102	2	text	1	1		1	300		
6	1362	viewOrder	5125	3	number	1	1	right	1	70		
7	1362	defaultFlg	1838	4	checkbox	1	1		1	80		
8	1362	delFlg	805	5	dropdown	1	1		0	110		
9	1369	bclassDtl.bclass.classCd	328	1	text	1	0		0	300		
10	1369	bclassDtl.bclass.classComment	334	2	text	1	0		0	300		
11	1369	bclassDtl.classDtlCd	335	3	text	1	0		0	300		
12	1369	bclassDtl.vdict.dictNm	1102	4	text	1	0		0	300		
13	1369	selectFlg	732	5	checkbox	1	1		0	40		
14	1369	defaultFlg	1838	6	checkbox	1	1		0	80		
15	1377	classGrpCd	330	1	text	1	1		1	300		
16	1377	classGrpComment	332	2	text	1	1		1	300		
17	1377	delFlg	805	3	dropdown	1	1		0	110		
18	1382	classCd	328	1	text	1	0		0	300		
19	1382	classComment	334	2	text	1	0		0	300		
20	1382	systemType	200	3	text	1	0		0	110		
21	1382	bclassDtlBySystemType.vdict.dictNm	1109	4	text	1	0		0	140		
22	1391	bdictCultureList[0].bculture.vdict.dictNm	1010	1	text	1	0		0	300		
23	1391	dictNm	421	2	text	1	0		0	300		
24	1391	dictCultureNm	1011	3	text	1	1		0	300		
25	1396	oldDictNm	1032	1	text	1	0		0	300		
26	1396	dictNm	421	2	text	1	1		1	300		
27	1396	systemType	200	3	dropdown	1	1		1	135		
28	1396	dataType	1033	4	dropdown	1	1		0	175		
29	1396	bdictValidAsOne.inputLimit	1034	5	dropdown	1	1		0	450		
30	1396	bdictValidAsOne.limitMessageCd	476	6	text	1	1		0	420		
31	1396	bdictValidAsOne.minChars	367	7	number	1	1	right	0	90		
32	1396	bdictValidAsOne.maxChars	371	8	number	1	1	right	0	90		
33	1396	bdictValidAsOne.minNumber	366	9	number	1	1	right	0	230		
34	1396	bdictValidAsOne.maxNumber	370	10	number	1	1	right	0	230		
35	1396	bdictValidAsOne.integerLength	477	11	number	1	1	right	0	75		
36	1396	bdictValidAsOne.decimalLength	472	12	number	1	1	right	0	75		
37	1396	delFlg	805	13	dropdown	1	1		0	110		
38	1404	screen.screenCd	307	1	text	1	0		0	300	1	
39	1404	screen.vdict.dictNm	1076	2	text	1	0		0	400	2	
40	1404	screen.systemTypeNm	200	3	text	1	0		0	110	3	
41	1404	item.vdict.dictNm	1930	4	text	1	0		0	300	4	
42	1416	infoNm	1059	1	text	1	0		0	1100		
43	1416	infoStartDt	310	2	date	1	0		0	150		
44	1416	infoEndDt	430	3	date	1	0		0	150		
45	1443	bclassDtlByLogDtlStatus.vdict.dictNm	261	1	text	1	0		0	155		
46	1443	processDt	648	2	datetime	1	0		0	180		
47	1443	logDtlSectionNm	1072	3	text	1	0		0	300		
48	1443	processInfo	462	4	text	1	0		0	1100		
