MENU_ID	MENU_GRP_ID	SCREEN_ID	DICT_ID	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
1	1	244	3369	SymbolInspectionMethod/load	0	1	0
2	1	133	3370	ReceivePalletizeInspectionSymbolPaste/load	0	2	0
3	1	16	3371	CreatePalletInfoMethod/load	0	3	0
4	1	59	3372	PalletLabelInfoTransportNumberSearch/load	0	4	0
5	1	6	3373	CaseInspectionPalletNumberBarcode/load	0	5	0
6	1	60	3374	PalletLabelInspectionPalletNumberBarcode/load	0	6	0
7	1	144	1740	ReceiveStorePalletNumberBarcode/load	0	7	0
8	1	7	3375	ChangeReceivePlanStockTypeSelect/load	0	8	0
9	2	5	3376	BondedOrderPickingMethod/load	0	1	0
10	2	215	3377	SortingPlaceIncomingInspectionListBarcode/load	0	2	0
11	2	214	3378	SortingPlaceCartonAssortSymbolBarcode/load	0	3	0
12	2	213	3379	SortingInspectionPalletDtFractionBarcode/load	0	4	0
13	2	204	3380	ShippingPlaceIncomingInspectionDetailBarcode/load	0	5	0
14	2	181	2660	ShippingLoadingInspectionShippingLoadingListShippingInstKey/load	0	6	0
15	2	148	3381	ReplenishOrderPickingReplenishStockTransferListInput/load	0	7	0
16	2	17	3382	CustomerLabelBindingSortingBarcode/load	0	8	0
17	2	58	3383	OrderPickingInternalDutyFreeOrder/load	0	9	0
18	2		3384	InternalDutyFreeSortingReturnOrderInfoInput/load	0	10	0
19	3	240	3385	StockPalletizeInspectionMethod/load	0	1	0
20	3	8	3386	ChangeStockStockTypeMethod/load	0	2	0
21	3	222	3387	StockMoveInMoveMethod/load	0	3	0
22	3	223	3388	StockMoveInReplenishSelectPosition/load	0	4	0
23	3	220	3389	StockMoveInLineSelectPosition/load	0	5	0
24	3	236	3390	StockMoveOutMoveMethod/load	0	6	0
25	3	239	3391	StockMoveOutStockTransferList/load	0	7	0
26	3	226	3392	StockMoveOtherMoveMethod/load	0	8	0
27	3	242	2654	StockSearchConditionStockInput/load	0	9	0
28	3	246	3393	TransshipmentPlaceIncomingInspectionPalletPalletBarcode/load	0	10	0
29	3	245	3394	TransshipmentPlaceIncomingInspectionCardboardPalletBarcode/load	0	11	0
30	4	41	3395	InventoryInputProductSortingPlaceReplenish/load	0	1	0
31	4	31	3396	InventoryInputProductSelect/load	0	2	0
32	5	62	3397	PrinterSelectReportLayout/load	0	1	0
33	5	62	3397	PrinterSelectReportLayout/loadTerminal	0	2	0
34	6	478	3398	#/wms/receive/SlipNoReceiveList	0	1	0
35	6		3399	#/wms/receive/ReceivePlanConfirm	0	2	0
36	6	443	3400	#/wms/receive/ReceivePlanListPrint	0	3	0
37	6		3401	#/wms/receive/SymbolList	0	4	0
38	6		3402	#/wms/receive/PalletLabelPrint	0	5	0
39	6	308	3403	#/wms/receive/BondedReceiveConfirm	0	6	0
40	6		3404	#/wms/receive/CaseLabelPrint	0	7	0
41	6		3405	#/wms/receive/ProductChange	0	8	0
42	7	467	3406	#/wms/shipping/ShippingInstList	0	1	0
43	7	472	3407	#/wms/shipping/ShippingPlanInput	0	2	0
44	7	309	3408	#/wms/shipping/BondedShippingRelationListPrint	0	3	0
45	7	418	3409	#/wms/shipping/PickingListRePrint	0	4	0
46	7		3410	#/wms/shipping/ShippingInstInfoList	0	5	0
47	7		3411	#/wms/shipping/InternalDutyFreeShippingInst	0	6	0
48	7		3412	#/wms/shipping/InternalDutyFreeFinalShippingLotInfo	0	7	0
49	7	462	3413	#/wms/shipping/ShippingConfirmList	0	8	0
50	8		3414	#/wms/shipping/AdvanceStockTransferInst	0	1	0
51	8		3415	#/wms/shipping/StockTransferList	0	2	0
52	8		3416	#/wms/shipping/StockTransferQuantityAdjustment	0	3	0
53	8		3417	#/wms/shipping/CaseShippingWorkList	0	4	0
54	8	408	3418	#/wms/shipping/MonthlyDesignChangeInfoMaster	0	5	0
55	8	452	3419	#/wms/shipping/ReplenishStockTransferListPrint	0	6	0
56	8		3420	#/wms/shipping/ReplenishInstConfirm	0	7	0
57	8	450	3421	#/wms/shipping/ReplenishInstBulkInput	0	8	0
58	8	414	3422	#/wms/shipping/PackingList	0	9	0
59	9	378	3423	#/wms/inventory/InventoryCreate	0	1	0
60	9	376	3424	#/wms/inventory/InstKeyList	0	2	0
61	9	384	3425	#/wms/inventory/InventoryInput	0	3	0
62	9	483	3426	#/wms/stock/StockCheck	0	4	0
63	9		3427	#/wms/stock/InspectionResultList	0	5	0
64	9		3428	#/wms/stock/InspectionResultInput	0	6	0
65	9	387	3429	#/wms/stock/InventoryReportPrint	0	7	0
66	9		3430	#/wms/stock/ExcessOrDeficiencyHistoryListPrint	0	8	0
67	9		3431	#/wms/stock/ReverseListPrint	0	9	0
68	9	485	862	#/wms/stock/StockList	0	10	0
69	9	484	3432	#/wms/stock/StockInOutList	0	11	0
70	9		3433	#/wms/stock/LotAttributePartialChange	0	12	0
71	9	313	3434	#/wms/stock/CardboardMoveHistory	0	13	0
72	9	469	3435	#/wms/stock/ShippingPalleteInfoInquiry	0	14	0
73	9		3436	#/wms/stock/StockListByLocation	0	15	0
74	9		3437	#/wms/stock/StockListByLocationLotLocation	0	16	0
75	9		3438	#/wms/stock/StockListByLocationCase	0	17	0
76	9	313	3434	#/wms/stock/CardboardMoveHistory	0	18	0
77	10		3439	#/wms/returns/ReturnedSlipList	0	1	0
78	10		3440	#/wms/returns/ProductionDateListPrint	0	2	0
79	10		3441	#/wms/returns/NonconformityMonthlyCondition	0	3	0
80	10	410	3442	#/wms/returns/NonconformityLabelPrint	0	4	0
81	10	343	3443	#/wms/returns/DamagedItemResistration	0	5	0
82	11		3444	#/wms/stock/DirectionInstInput	0	1	0
83	11		3445	#/wms/stock/BlockSortingOrderSetting	0	2	0
84	11		3446	#/wms/stock/SortingPlaceStockAdjustment	0	3	0
85	11		3447	#/wms/stock/ShippingRelationListPrint	0	4	0
86	11		3448	#/wms/stock/BuyingShopSearchListPrint	0	5	0
87	11	417	3449	#/wms/stock/PickingListPrint	0	6	0
88	11		3450	#/wms/stock/ReverseReplenishListPrint	0	7	0
89	11		3451	#/wms/stock/BetweenLinesDiffCheckList	0	8	0
90	11		3452	#/wms/stock/SortWorkConfirm	0	9	0
91	11	353	3453	#/wms/shipping/DispatchRecordInput	0	10	0
92	11	377	3454	#/wms/stock/InventoryBulkUpdate	0	11	0
93	11		3455	#/wms/stock/DirectionAttributeMasterList	0	12	0
94	11		3456	#/wms/stock/ReplenishMagnificationMasterList	0	13	0
95	11	480	3457	#/wms/stock/SortingPlaceMasterList	0	14	0
96	11		3458	#/wms/stock/ProductCategoryList	0	15	0
97	11	312	3459	#/wms/stock/BoxMaster	0	16	0
98	12	500	3460	#/wms/master/UserMasterList	0	1	0
99	12	341	3461	#/wms/master/CustomerMasterList	0	2	0
100	12	390	3462	#/wms/master/LocationMaster	0	3	0
101	12	335	3463	#/wms/master/CenterProductControlMasterList	0	4	0
102	12	380	3464	#/wms/master/InventoryDateMasterList	0	5	0
103	12	304	3465	#/wms/master/AllocateControlMasterList	0	6	0
104	12	444	3466	#/wms/master/ReceiveProductChangeMaster	0	7	0
105	12	435	3467	#/wms/master/ReceiveDesignMasterList	0	8	0
106	12	338	699	#/wms/master/ClientMaster	0	9	0
107	12	503	687	#/wms/master/WarehouseMaster	0	10	0
108	12	333	3468	#/wms/master/CenterMasterList	0	11	0
109	12	511	829	#/wms/master/ZoneMaster	0	12	0
110	12	495	1284	#/wms/master/StockTypeMaster	0	13	0
111	12	461	1522	#/wms/master/ShapeMaster	0	14	0
112	12	460	3469	#/wms/master/ShapeGroupMasterList	0	15	0
113	12	411	2600	#/wms/master/NumberingCenterMaster	0	16	0
114	13		3470	#/wms/operation/TrackingInfoList	0	1	0
115	13		3471	#/wms/operation/ProductTrackingInfoListSortingShop	0	2	0
116	13	505	3472	#/wms/operation/WorkloadInquiry	0	3	0
117	13	273	57	#/base/operation/PrintRequestList	0	4	0
118	13	270	53	#/base/master/PrinterList	0	5	0
119	13	268	55	#/base/master/PrinterAttributeList	0	6	0
120	13	269	48	#/base/master/PrinterGroupList	0	7	0
121	13	276	3473	#/base/master/PrintServiceList	0	8	0
122	13	504	3474	#/wms/master/WebHTinfoMaster	0	9	0
123	13		3475	#/wms/operation/LocationBulkChange	0	10	0
124	13	262	1052	#/base/operation/LogList	0	11	0
125	14	285	3476	#/base/master/RoleList	0	1	0
126	14	284	3477	#/base/master/RoleGrpList	0	2	0
127	14	282	147	#/base/master/ReportMaster	0	3	0
128	14	280	3478	#/base/master/ReportLayoutList	0	4	0
129	14	328	3479	#/wms/master/CenterClassList	0	5	0
130	14	331	1073	#/wms/master/CenterClientScreenMaster	0	6	0
131	14	330	1090	#/wms/master/CenterClientScreenItemMaster	0	7	0
132	14	329	1135	#/wms/master/CenterClientScreenColMaster	0	8	0
133	14	425	1283	#/wms/master/ProcessTypeMaster	0	9	0
134	14	254	1027	#/base/master/DictMaster	0	10	0
135	14	253	1015	#/base/master/DictCultureMaster	0	11	0
136	14	252	3480	#/base/master/ClassList	0	12	0
137	14	266	1175	#/base/master/MessageMaster	0	13	0
138	14	291	3481	#/base/master/ScreenList	0	14	0
139	14	265	3482	#/base/master/MenuGrpList	0	15	0
140	14	255	23	#/base/common/GridColExtBaseEdit	0	16	0
141	14	294	61	#/base/master/SystemEdit	0	17	0
142	14	277	150	#/base/master/PropertyMaster	0	18	0
143	14	371	3483	#/wms/master/HTDictMaster	0	19	0
144	14	370	3484	#/wms/master/HTDictCultureMaster	0	20	0
145	14	372	3485	#/wms/master/HTMessageMaster	0	21	0
