REPORT_ID	REPORT_CD	REPORT_NM
1	BarcodeLabel	バーコードラベル
2	BillOfLading	Bill of Lading
3	BondedPickingList	棚出リスト
4	CaseLabel	ケースはり紙
5	CasePickingList	ケースピッキングリスト
6	ClassLabel	汎用ラベル
7	CommercialInvoice	CommercialInvoice
8	CommonInvoiceList	共通送り状
9	CommonTagLabel	汎用荷札
10	ConwaBillofLading	Conwa Bill of Lading
11	ConwayShippingLabel	Conway Shipping Label
12	DeliveryList	輸送帳票
13	DeliverySlipList	納品明細
14	EcDeliverySlipList	ECお買上明細
15	EMReplenishLabel	緊急補充ラベル
16	ExcessOrDeficiencyHistoryList	過不足履歴簿
17	ExcessOrDeficiencyReportList	適品過不足報告書
18	ExcessOrDeficiencyReportListDomestic	不適品過不足報告書(国産)
19	ExchangeDtlList	取替明細書
20	ExchangeTotalizationList	取替集計表
21	IndividualInfoCodeListPrint	個体情報コード一覧
22	InspectionLabel	検品ラベル
23	InventoryDiffList	棚卸差異リスト
24	InventoryWorkList	棚卸作業リスト
25	LocationBarcodeList	ロケーションバーコードリスト
26	MoveLabel	搬送ラベル
27	MultiPickingList	マルチピッキングリスト
28	NonconformityLabel	不適品ラベル
29	NonconformityStockReportList	不適品在庫調査表
30	OrderPickingList	オーダーピッキングリスト
31	PackingSlipList	PackingSlip
32	PalletDtlFraction	パレット明細（端数）
33	PalleteDtlSingle	パレット明細（単品）
34	PalletLabel	パレットはり紙
35	PLPickingList	摘み取りリスト
36	ProcuctionDateReverseListStockTransfer	製造年月日逆転リスト（山出し）
37	ProductionDateReverseListCollectionPlace	製造年月日調査逆転リスト（引取場）
38	ProductionDateReverseListSortingPlace	製造年月日調査逆転リスト（仕分場）
39	ProductLabel	商品ラベル
40	ReceivePlanList	入荷予定リスト
41	ReceiveRequestList	入庫依頼書
42	ReplenishStockTransferList	融通山出しリスト
43	ReturnedAppropriateItemCheckList	返品適品チェックリスト
44	ReturnedDiffList	返品差異リスト
45	ReverseReplenishList	逆転補充リスト
46	RGReplenishLabel	定期補充ラベル
47	SagawaTagLabel	佐川急便荷札
48	ShelfStockFixList	棚在庫修正リスト
49	ShippingLoadingList	積込リスト
50	ShippingRequestList	出庫依頼書
51	SingleRowPickingList	単行ピッキングリスト
52	SLPickingList	種蒔きリスト
53	SortingDtlList	仕分明細書
54	SortingPlaceIncomingInspecList	仕分場受入検品リスト出力
55	StartStockFixList	スタート在庫修正リスト
56	StockListSample	在庫リスト(サンプル)
57	StockSetInstList	セット組指示書
58	StockSetReleaseList	セット解除指示書
59	StockTransferList	山出しリスト
60	StoreLabel	入庫ラベル
61	StwList	積込リスト
62	SymbolLabel	シンボル
63	TotalPickingList	トータルピッキングリスト
64	YamatoCollectTagLabel	ヤマト宅急便(コレクト)荷札
65	YamatoDeliveryTagLabel	ヤマト宅急便(発払)荷札
66	YuPacketTagLabel	ゆうパケット荷札
67	YuPackTagLabel	ゆうパック荷札
