REPORT_LAYOUT_ITEM_ID	REPORT_LAYOUT_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	ITEM_FORMAT
1	5	lblTitle	3140	String	1	
2	5	lblDt	3141	String	1	
3	5	lblPage	3142	String	1	
4	5	lblShipFrom	3143	String	1	
5	5	lblShipFromName	3144	String	1	
6	5	lblShipFromAddress	3145	String	1	
7	5	lblShipFromCity	3146	String	1	
8	5	lblShipFromSID	3205	String	1	
9	5	lblFromFob	3148	String	1	
10	5	lblShipTo	3149	String	1	
11	5	lblShipToName	3144	String	1	
12	5	lblShipToAddress	3145	String	1	
13	5	lblShipToCity	3146	String	1	
14	5	lblShipToCID	3147	String	1	
15	5	lblToFob	3148	String	1	
16	5	lblLocation	3150	String	1	
17	5	lblThird	3151	String	1	
18	5	lblName	3144	String	1	
19	5	lblAddress	3145	String	1	
20	5	lblCity	3146	String	1	
21	5	lblSpecialInstructions	3152	String	1	
22	5	lblBillLadingNo	3153	String	1	
23	5	lblCarrierName	3154	String	1	
24	5	lblTrailerNumber	3155	String	1	
25	5	lblSealNumber	3156	String	1	
26	5	lblSCAC	3157	String	1	
27	5	lblProNumber	3158	String	1	
28	5	lblFreightCharge	3159	String	1	
29	5	lblFreightCharges	3160	String	1	
30	5	lblUnless	3161	String	1	
31	5	lblPrePaid	2975	String	1	
32	5	lblCollect	2977	String	1	
33	5	lbl3	3162	String	1	
34	5	lblRd	3163	String	1	
35	5	lblParty	3164	String	1	
36	5	lblCheckBox	3165	String	1	
37	5	lblCustomerOrderInformation	3167	String	1	
38	5	lblCustomerOrderNumber	3168	String	1	
39	5	lblPkgs	3169	String	1	
40	5	lblWeight	3170	String	1	
41	5	lblPallet	3171	String	1	
42	5	lblCircleOne	3172	String	1	
43	5	lblY	3173	String	1	
44	5	lblN	3174	String	1	
45	5	lblAdditional	3175	String	1	
46	5	lblPer	3176	String	1	
47	5	lblCodAmount	3177	String	1	
48	5	lblFeeTerms	3178	String	1	
49	5	lblCollate	3179	String	1	
50	5	lblFooterPrepaid	3201	String	1	
51	5	lblCustomerCheckAcc	3180	String	1	
52	5	lblShipper	3181	String	1	
53	5	lblSignature	3182	String	1	
54	5	lblShipperSignatuer	3183	String	1	
55	5	lblTrailer	3184	String	1	
56	5	lblBySipper	3185	String	1	
57	5	lblByDriver	3186	String	1	
58	5	lblFreightCounted	3187	String	1	
59	5	lblByShipper1	3185	String	1	
60	5	lblByPallets	3188	String	1	
61	5	lblPieces	3189	String	1	
62	5	lblCarrierSignatuer	3190	String	1	
63	6	lblWarehouseCd	5106	String	1	
64	6	lblCenterNm	5107	String	1	
65	6	lblShipSchDate	5108	String	1	
66	6	lblShipSchDateToFrom	5109	String	1	
67	6	lblWorkAllocateId	5110	String	1	
68	6	lblFloor	5111	String	1	
69	6	lblLocCd	5112	String	1	
70	6	lblItemCd	5113	String	1	
71	6	lblProductNm	4960	String	1	
72	6	lblLot1	4920	String	1	
73	6	lblLot4	5114	String	1	
74	6	lblLot2	4961	String	1	
75	6	lblOtherLot1	763	String	1	
76	6	lblLot3	5115	String	1	
77	6	lblPaletteTan	5116	String	1	
78	6	lblCaseTan	5117	String	1	
79	6	lblCaseHasuSiwake	5117	String	1	
80	6	lblCartonHasuSiwake	5118	String	1	
81	6	lblPaletteHasuPick	5116	String	1	
82	6	lblCaseHasuPick	5117	String	1	
83	6	lblCartonHasuPick	5118	String	1	
84	6	lblTotal	1129	String	1	
85	7	lblTitle1	5479	String	1	
86	7	lblTitle2	4710	String	1	
87	7	lblCaseCd	5480	String	1	
88	7	lblTransportCd	5481	String	1	
89	7	lblLocCd	5482	String	1	
90	7	lblPalletNo	5483	String	1	
91	7	lblDesignCd	4921	String	1	
92	7	lblPicklistKey	5484	String	1	
93	7	lblSotedUnit	5080	String	1	
94	8	lblCasePickingList	1520	String	1	
95	8	lblClientCd	734	String	1	
96	8	lblWarehouseCd	723	String	1	
97	8	lblWorkDt	387	String	1	
98	8	lblPickingWorkNo	450	String	1	
99	8	lblStockTypeCd	763	String	1	
100	8	lblLocationNm	776	String	1	
101	8	lblStoreLabelNo	573	String	1	
102	8	lblJancd	180	String	1	
103	8	lblProductNm	469	String	1	
104	8	lblProductCd	465	String	1	
105	8	lblLimitDt	313	String	1	
106	8	lblLot	266	String	1	
107	8	lblStringUnitNum	585	String	1	
108	8	lblAgain	1118	String	1	
109	8	lblAllPage	1547	String	1	
110	8	lblCenter	5142	String	1	
111	8	lblCasePickingNo	2551	String	1	
112	8	lblTotalPickingNum	2456	String	1	
113	8	lblTotalBreakdown	2941	String	1	
114	8	lblBreakdown	2940	String	1	
115	8	lblPickNum	2457	String	1	
116	8	lblStoreDt	583	String	1	
117	8	lblZoneCd	724	String	1	
118	8	lblShippingPackingNo	2956	String	1	
119	8	lblFromShippingPackingNo	2957	String	1	
120	8	lblToShippingPackingNo	2958	String	1	
121	9	lblCasePickingList	1520	String	1	
122	9	lblClientCd	734	String	1	
123	9	lblWarehouseCd	723	String	1	
124	9	lblWorkDt	387	String	1	
125	9	lblPickingWorkNo	450	String	1	
126	9	lblStockTypeCd	763	String	1	
127	9	lblLocationNm	776	String	1	
128	9	lblStoreLabelNo	573	String	1	
129	9	lblJancd	180	String	1	
130	9	lblProductNm	469	String	1	
131	9	lblProductCd	465	String	1	
132	9	lblLimitDt	313	String	1	
133	9	lblLot	266	String	1	
134	9	lblStringUnitNum	585	String	1	
135	9	lblAgain	1118	String	1	
136	9	lblAllPage	1547	String	1	
137	9	lblCenter	5142	String	1	
138	9	lblCasePickingNo	2551	String	1	
139	9	lblTotalPickingNum	2456	String	1	
140	9	lblTotalBreakdown	2941	String	1	
141	9	lblBreakdown	2940	String	1	
142	9	lblPickNum	2457	String	1	
143	9	lblStoreDt	583	String	1	
144	9	lblZoneCd	724	String	1	
145	9	lblShippingPackingNo	2956	String	1	
146	9	lblFromShippingPackingNo	2957	String	1	
147	9	lblToShippingPackingNo	2958	String	1	
148	10	lblCasePickingList	1520	String	1	
149	10	lblClientCd	734	String	1	
150	10	lblWarehouseCd	723	String	1	
151	10	lblWorkDt	387	String	1	
152	10	lblPickingWorkNo	450	String	1	
153	10	lblStockTypeCd	763	String	1	
154	10	lblLocationNm	776	String	1	
155	10	lblStoreLabelNo	573	String	1	
156	10	lblJancd	180	String	1	
157	10	lblProductNm	469	String	1	
158	10	lblProductCd	465	String	1	
159	10	lblLimitDt	313	String	1	
160	10	lblLot	266	String	1	
161	10	lblStringUnitNum	585	String	1	
162	10	lblAgain	1118	String	1	
163	10	lblAllPage	1547	String	1	
164	10	lblCenter	5142	String	1	
165	10	lblCasePickingNo	2551	String	1	
166	10	lblTotalPickingNum	2456	String	1	
167	10	lblTotalBreakdown	2941	String	1	
168	10	lblBreakdown	2940	String	1	
169	10	lblPickNum	2457	String	1	
170	10	lblStoreDt	583	String	1	
171	10	lblZoneCd	724	String	1	
172	10	lblShippingPackingNo	2956	String	1	
173	10	lblFromShippingPackingNo	2957	String	1	
174	10	lblToShippingPackingNo	2958	String	1	
175	11	lblClientNm	734	String	1	
176	11	lblCntrNm	5142	String	1	
177	11	lblProdCd	765	String	1	
178	11	lblDepositNm	762	String	1	
179	11	lblStockType	763	String	1	
180	11	lblLimitDt	313	String	1	
181	11	lblLot	266	String	1	
182	11	lblWarehouseNm	723	String	1	
183	11	lblZoneNm	724	String	1	
184	11	lblTLocationNm1	1125	String	1	
185	11	lblTLocationNm2	1126	String	1	
186	11	lblPinkLoc1	1128	String	1	
187	11	lblPinkLoc2	1126	String	1	
188	11	lblShippingLoc1	1864	String	1	
189	11	lblStoreLoc1	1863	String	1	
190	11	lblCaseNum	1127	String	1	
191	11	lblStoreNum	2927	String	1	
192	11	lblBreakdown	2681	String	1	
193	11	lblStringUnitNum	585	String	1	
194	11	lblStoreLabelNo	573	String	1	
195	11	lblStoreLoc2	1126	String	1	
196	11	lblShippingLoc2	1126	String	1	
197	11	lblTitle	1123	String	1	
198	11	lblStoreDt	583	String	1	
