CENTER_CLASS_ID	CENTER_ID	CLASS_CD	CLASS_COMMENT	SYSTEM_TYPE
1	1	PIC_LIST_CLS1	一次ピッキングリスト	wms
2	2	PIC_LIST_CLS1	一次ピッキングリスト	wms
3	1	PIC_LIST_CLS2	二次ピッキングリスト	wms
4	2	PIC_LIST_CLS2	二次ピッキングリスト	wms
5	1	PIC_LIST_CLS3	送り状・荷札	wms
6	2	PIC_LIST_CLS3	送り状・荷札	wms
7	1	SAGAWA_DELIV_TZ	佐川配達時間帯	wms
8	2	SAGAWA_DELIV_TZ	佐川配達時間帯	wms
9	1	TRANSPORT_TYPE_ITEM	便種(商品)	wms
10	2	TRANSPORT_TYPE_ITEM	便種(商品)	wms
11	1	SLIP_SHAPE_CD	荷姿コード	wms
12	2	SLIP_SHAPE_CD	荷姿コード	wms
13	1	TRANSPORT_TYPE_SPEED	便種(スピードで選択)	wms
14	2	TRANSPORT_TYPE_SPEED	便種(スピードで選択)	wms
15	1	SEAL_TYPE	指定シール	wms
16	2	SEAL_TYPE	指定シール	wms
17	1	TAG_CLASS	データ種別	wms
18	2	TAG_CLASS	データ種別	wms
19	1	TAG_DATA_TYPE	送り状データ種別	wms
20	2	TAG_DATA_TYPE	送り状データ種別	wms
21	1	TAG_TYPE	送り状種別	wms
22	2	TAG_TYPE	送り状種別	wms
23	1	TAG_TYPE_AFTER	送り状種別(代引時、2枚目以降)	wms
24	2	TAG_TYPE_AFTER	送り状種別(代引時、2枚目以降)	wms
25	1	API_BINSYU_CODE	WebAPI便種コード	wms
26	2	API_BINSYU_CODE	WebAPI便種コード	wms
27	1	API_DAIBIKI_FLG	WebAPI代引フラグ	wms
28	2	API_DAIBIKI_FLG	WebAPI代引フラグ	wms
29	1	API_DAIBIKI_TYPE	WebAPI代引支払方法区分	wms
30	2	API_DAIBIKI_TYPE	WebAPI代引支払方法区分	wms
31	1	API_EIDOME_FLG	WebAPI営止フラグ	wms
32	2	API_EIDOME_FLG	WebAPI営止フラグ	wms
33	1	API_WEIGHT_CD	WebAPI重量コード	wms
34	2	API_WEIGHT_CD	WebAPI重量コード	wms
35	1	OUTPUT_TARGET_FLG	発行対象のみ表示	wms
36	2	OUTPUT_TARGET_FLG	発行対象のみ表示	wms
37	1	PRINT_CONDITION	未発行のみ表示	wms
38	2	PRINT_CONDITION	未発行のみ表示	wms
39	1	DESIGNFLG	デザイン区分	tsn
40	2	DESIGNFLG	デザイン区分	tsn
