CENTER_CLASS_ID	CENTER_CLASS_GRP_ID	CLASS_GRP_CD	CLASS_GRP_COMMENT
19	1	TAG_DATA_TYPE_JP	ゆうパック用送り状データ種別
20	2	TAG_DATA_TYPE_JP	ゆうパック用送り状データ種別
19	3	TAG_DATA_TYPE_SGW	佐川用送り状データ種別
20	4	TAG_DATA_TYPE_SGW	佐川用送り状データ種別
19	5	TAG_DATA_TYPE_YMT	ヤマト用送り状データ種別
20	6	TAG_DATA_TYPE_YMT	ヤマト用送り状データ種別
21	7	TAG_TYPE_COMM	汎用荷札用送り状種別
22	8	TAG_TYPE_COMM	汎用荷札用送り状種別
21	9	TAG_TYPE_JP	ゆうパック用送り状種別
22	10	TAG_TYPE_JP	ゆうパック用送り状種別
21	11	TAG_TYPE_SGW	佐川用送り状種別
22	12	TAG_TYPE_SGW	佐川用送り状種別
21	13	TAG_TYPE_YMT	ヤマト用送り状種別
22	14	TAG_TYPE_YMT	ヤマト用送り状種別
23	15	TAG_TYPE_AFTER_COMM	汎用荷札用送り状種別(代引時、2枚目以降)
24	16	TAG_TYPE_AFTER_COMM	汎用荷札用送り状種別(代引時、2枚目以降)
23	17	TAG_TYPE_AFTER_JP	ゆうパック用送り状種別(代引時、2枚目以降)
24	18	TAG_TYPE_AFTER_JP	ゆうパック用送り状種別(代引時、2枚目以降)
23	19	TAG_TYPE_AFTER_SGW	佐川用送り状種別(代引時、2枚目以降)
24	20	TAG_TYPE_AFTER_SGW	佐川用送り状種別(代引時、2枚目以降)
23	21	TAG_TYPE_AFTER_YMT	ヤマト用送り状種別(代引時、2枚目以降)
24	22	TAG_TYPE_AFTER_YMT	ヤマト用送り状種別(代引時、2枚目以降)
