CENTER_CLASS_GRP_DTL_ID	CENTER_CLASS_GRP_ID	CENTER_CLASS_DTL_ID	DEFAULT_FLG
1	5	123	0
2	6	124	0
3	3	125	0
4	4	126	0
5	3	127	0
6	4	128	0
7	1	129	0
8	2	130	0
9	1	131	0
10	2	132	0
11	1	133	0
12	2	134	0
13	1	135	0
14	2	136	0
15	7	137	0
16	8	138	0
17	13	139	0
18	14	140	0
19	13	141	0
20	14	142	0
21	11	143	0
22	12	144	0
23	9	145	0
24	10	146	0
25	9	147	0
26	10	148	0
27	15	149	0
28	16	150	0
29	21	151	0
30	22	152	0
31	21	153	0
32	22	154	0
33	19	155	0
34	20	156	0
35	17	157	0
36	18	158	0
37	17	159	0
38	18	160	0
