DICT_ID	DICT_NM
1	メインメニュー
4	プリンタ
8	帳票レイアウト
28	ログイン
30	パスワード
70	プリンタグループ
78	プリンタ属性
142	権限制御区分
143	権限制御区分CD
144	権限制御区分名称
145	許可を指定
146	拒否を指定
156	ユーザ別プリンタ
157	端末別プリンタ
161	在庫
164	荷主選択
180	ｿｰｽCD
217	ﾋﾟｯｷﾝｸﾞｸﾞﾙｰﾌﾟNo
243	メニュー
247	ユーザCD
252	ユーザ名
266	ロット
289	仮置No
290	荷材CD
313	期限日
350	顧客入荷指示No
393	仕入先名称
397	指示数
438	出荷梱包No
450	出庫作業No
451	出庫作業メッセージ
573	入庫No
585	入数
616	予数
732	選択
734	荷主
737	処理区分
738	処区
762	預託
763	在庫区分
764	在区
765	商品
776	ロケ
801	総予定数
805	削除
830	仕入先
867	出荷検品
884	確定
890	検品数
891	検数
893	総検品数
895	箱登録
898	ステータス
959	在庫数
962	移動数
967	検品残数
968	個口番号
979	Ｃ数
980	配送コース
981	配送C
994	納品先
998	Ｐ数
1120	確認
1127	数量
1151	ピース
1152	ps
1153	ボール
1154	bl
1155	ケース
1156	cs
1157	グラム
1158	g
1493	出庫作業No/梱包No
1590	在庫管理
1737	移動
1740	入庫格納
1766	エラー
1848	未検品
1849	検品済
1856	作業中
1857	完了
1893	正常終了
1901	警告
2547	入荷検品
2551	ケースピッキングNo
2553	オーダピッキング
2555	伝票No
2556	仮ロケ
2557	汎用ラベルNo
2558	汎用No
2565	バラ数
2567	出庫ロケ
2568	先ロケ
2569	入庫ロケ
2574	追跡No/梱包No
2575	ケースピッキング
2645	入荷管理
2646	出荷管理
2647	棚卸管理
2648	運用管理
2649	送信
2650	戻る
2651	次
2652	前
2653	在庫区分選択
2654	在庫検索
2655	在庫検索(一覧)
2656	在庫移動(出庫)
2657	在庫移動(入庫)
2658	入荷検品格納
2659	予定無し入荷
2660	積込検品
2661	シリアル登入
2662	シリアル登出
2663	商品棚卸入力
2664	ロケ変更
2665	ロケ一括変更
2666	プリンタ選択
2667	いいえ
2668	はい
2669	致命的エラー
2670	終了
2671	継続
2672	削除しますか？
2673	中断しますか？
2674	入力補助
2675	商品荷姿
2676	OK
2677	[0]([1])
2678	入荷検品(数量)
2679	…
2680	一覧
2681	内訳
2688	ロケ変更を
2689	終了しますか？
2690	在庫移動入庫を
2691	続けて入庫作業し
2692	ますか？
2693	在庫移動出庫を
2694	中断データが
2695	存在します。
2696	再開しますか？
2697	再開
2698	再開します。
2699	在庫移動入庫(終了)
2700	在庫移動出庫(終了)
2701	在庫移動出庫(確認)
2702	入数内訳
2703	予定単位
2704	予定内訳
2705	入庫単位
2706	入庫内訳
2707	棚卸前内訳
2708	調整前総数荷姿
2709	調整後総数荷姿
2710	調整総数荷姿
2711	商品数
2712	ロケ変更(出庫ロケ)
2713	ロケ変更(一覧)
2714	ロケ変更(入庫ロケ)
2715	ロケ変更(確認)
2716	データを登録します。
2717	よろしいですか？
2718	ロケ変更(終了)
2719	ｽｷｯﾌﾟ
2720	ケースピッキングを
2721	ピッキングNo
2722	ケースピック(No)
2723	ケースピック(ｿｰｽCD)
2724	ケースピック(入庫No)
2725	ケースピック(数量)
2726	ケースピック(一覧)
2727	ケースピック(終了)
2728	選択後、[ENT]で確定
2729	積込検品(確認)
2730	積込検品(一覧)
2731	配送コース選択
2732	積込検品(終了)
2733	積込検品(No)
2734	の積込検品が
2735	終了しました。
2736	積込検品を
2737	使用した荷材CDを
2738	入力してください。
2739	決定
2740	出荷検品キャンセル
2741	しますか？
2742	合計個口数
2743	中断
2744	総個口数
2745	シリアル登出を
2746	出荷検品(箱登録)
2747	出荷検品(終了)
2748	出荷検品(ｿｰｽCD)
2749	出荷検品(一覧)
2750	出荷検品(数量)
2751	出荷検品(確認)
2752	出荷検品(No)
2753	ｼﾘｱﾙ登出(終了)
2754	ｼﾘｱﾙ登出(ｿｰｽCD)
2755	ｼﾘｱﾙ登出(範囲)
2756	ｼﾘｱﾙ登出(確認)
2757	ｼﾘｱﾙｸﾘｱ確認
2758	ｼﾘｱﾙ登出(ｼﾘｱﾙ)
2759	納品先選択
2760	ｼﾘｱﾙ登出(No)
2761	ｽﾀｰﾄｼﾘｱﾙ
2762	ｼﾘｱﾙ
2763	入力したシリアルを
2764	クリアしますか？
2765	範囲
2766	オーダピッキングを
2767	オーダピック(No)
2768	オーダピック(入庫No)
2769	オーダピック(確認)
2770	オーダピック(数量)
2771	オーダピック(一覧)
2772	オーダピック(終了)
2773	オーダピック(ｿｰｽCD)
2774	移動入庫(ｿｰｽCD)
2775	移動入庫(入庫No)
2776	移動入庫(ロケ)
2777	移動入庫(選択)
2778	移動入庫確認
2779	プリンタ選択を
2780	キャンセルしますか？
2781	トレイ
2782	Pｸﾞﾙｰﾌﾟ
2783	ﾌﾟﾘﾝﾀ
2784	帳票L
2785	同じ帳票レイアウトが
2786	登録されています。
2787	更新しますか？
2788	プリンタ選択(終了)
2789	選択プリンタ一覧
2790	プリンタグループ選択
2791	帳票レイアウト選択
2792	プリンタ選択(確認)
2793	トレイ選択
2794	更新確認
2795	移動出庫(入庫No)
2796	移動出庫(ロケ)
2797	移動出庫(ｿｰｽCD)
2798	移動出庫(選択)
2799	移動出庫(数量)
2800	移動出庫確認
2801	商品棚卸(終了)
2802	商品棚卸を
2803	預託選択
2804	商品棚卸(ｿｰｽCD)
2805	商品棚卸(在区)
2806	商品棚卸(詳細)
2807	商品棚卸(一覧)
2808	商品棚卸(ロケ)
2809	商品棚卸(数量)
2810	商品棚卸完了
2811	か？
2812	商品棚卸(確認)
2813	入庫格納(終了)
2814	入庫格納を
2815	入庫格納(ｿｰｽCD)
2816	入庫格納(仮ロケ)
2817	入庫格納(入庫No)
2818	入庫格納(詳細)
2819	入庫格納(一覧)
2820	入荷数
2821	格納数
2822	入庫格納(ロケ)
2823	入庫格納(数量)
2824	入庫格納(選択)
2825	入庫格納確認
2826	入庫格納完了
2827	データを登録
2828	シリアル登入を
2829	予定無し入荷(終了)
2830	予定無し入荷を
2831	予定無し入荷(ｿｰｽCD)
2832	予定無し入荷完了
2833	期限日が過ぎています
2834	登録しますか？
2835	検品を完了しますか？
2836	予定無し入荷(区分)
2837	ラベル選択
2838	予定無し入荷(汎用)
2839	予定無し入荷(詳細)
