DICT_CULTURE_ID	DICT_NM
1	メインメニュー
2	Main Menu
3	主菜单
10	プリンタ
11	Printer
12	打印机
22	帳票レイアウト
23	Document Layout
24	报表版面设计
82	ログイン
83	Login
84	登录
88	パスワード
89	Password
90	密码
208	プリンタグループ
209	Printer Group
210	打印机组
232	プリンタ属性
233	Printer Properties
234	打印机属性
424	権限制御区分
425	Access Control Class
426	权限控制区分
427	権限制御区分CD
428	Access Control Class Code
429	权限控制区分CD
430	権限制御区分名称
431	Access Control Class Name
432	权限控制区分名称
433	許可を指定
434	Specify Permissions
435	指定许可
436	拒否を指定
437	Specify Lack of Permissions
438	指定拒绝
466	ユーザ別プリンタ
467	Printer(User)
468	打印(用户)
469	端末別プリンタ
470	Printer(Terminal)
471	打印(端末)
481	在庫
482	INVENTORY
483	库存
486	货主选择
489	用户名
490	荷主選択
491	Select Shipper
492	货主选择
495	荷材CD
498	顾客收货指示No.
501	供应方名称
504	指示数
507	发货打包No.
510	出库作业No.
513	出库作业信息
516	入数
519	预定数
522	选择
525	处理区分
528	在库区分
531	总预定数
538	ｿｰｽCD
539	UPC
540	代码CD
649	ﾋﾟｯｷﾝｸﾞｸﾞﾙｰﾌﾟNo
650	Picking Group No.
651	选货组No.
727	メニュー
728	Menu
729	菜单
739	ユーザCD
740	User Code
741	用户CD
754	ユーザ名
755	User Name
756	用户名
796	ロット
797	Lot
798	批号
865	仮置No
867	临放置No.
868	荷材CD
869	Box Code
870	荷材CD
937	期限日
938	Expiration Date
939	期限日
1048	顧客入荷指示No
1049	Customer Rcv. No.
1050	顾客收货指示No.
1177	仕入先名称
1178	Supplier Name
1179	供应方名称
1189	指示数
1190	Instruction Qty
1191	指示数
1312	出荷梱包No
1313	Shipping Packing No.
1314	发货打包No.
1348	出庫作業No
1349	Pick No.
1350	出库作业No.
1351	出庫作業メッセージ
1353	出库作业信息
1717	入庫No
1718	Receiving No.
1719	入库No
1753	入数
1754	Unit Qty
1755	入数
1846	予数
1847	Plan Qty
1848	预定数
2194	選択
2195	Select
2196	选择
2200	荷主
2201	Shipper
2202	货主
2209	処理区分
2210	Process Class
2211	处理区分
2212	処区
2213	Proc Cls
2214	住区
2284	預託
2285	Cons
2286	寄售
2287	在庫区分
2288	Inventory Class
2289	在库区分
2290	在区
2291	Inv Cls
2292	在区
2293	商品
2294	Item
2295	商品
2326	ロケ
2327	Location
2328	库位
2401	総予定数
2402	Total Plan Qty
2403	总预定数
2413	削除
2414	Delete
2415	删除
2488	仕入先
2489	Supplier
2490	收货方
2599	出荷検品
2600	Shipping Inspection
2601	出库检品
2650	確定
2668	検品数
2669	Inspection Qty
2670	检品数
2671	検数
2672	Insp qty
2673	检数
2677	総検品数
2678	Total Inspection Qty
2679	总检品数
2683	箱登録
2684	Input Box
2685	箱登录
2692	ステータス
2693	Status
2694	状态
2875	在庫数
2876	Inventory Qty
2877	在库数
2884	移動数
2885	Transfer Qty
2886	移动数
2899	検品残数
2900	Uninspected Qty
2901	检品剩余数
2902	個口番号
2903	Package No.
2904	箱编号
2935	Ｃ数
2936	cases
2937	箱数
2938	配送コース
2939	Carrier Service Level
2940	配送方案
2941	配送C
2942	Carrier S.
2943	配送C
2980	納品先
2981	Ship To
2982	供货方
2992	Ｐ数
2993	pieces
2994	单件数
3358	確認
3359	Check
3360	确认
3379	数量
3380	Qty
3381	数量
3451	ピース
3452	Piece
3453	散件
3454	ps
3455	pc
3456	ps
3457	ボール
3458	Carton
3459	bl
3460	bl
3461	ct
3462	bl
3464	Case
3465	箱
3466	cs
3467	cs
3468	cs
3469	グラム
3470	Gram
3471	克
3472	g
3473	g
3474	g
4477	出庫作業No/梱包No
4478	Pick No./Packing No.
4479	出库作业No./出库打包No.
4767	在庫管理
4768	Inventory
4769	在库管理
5208	移動
5217	入庫格納
5218	Put-away
5219	入库格纳
5295	エラー
5296	Error
5297	错误
5541	未検品
5542	Uninspected
5543	未检品
5544	検品済
5545	Inspected
5546	检品完
5565	作業中
5566	In Progress
5567	作业中
5568	完了
5569	Complete
5570	完了
5676	正常終了
5677	Terminated Normally
5678	正常终了
7638	入荷検品
7639	Receiving Inspection
7640	收货检品
7650	ケースピッキングNo
7651	Case Order Picking No.
7652	箱检品No.
7656	オーダピッキング
7657	Order Picking
7658	订货拣品
7662	伝票No
7663	Doc. No
7664	单据No
7665	仮ロケ
7666	Temp Loc
7667	临时库位
7668	汎用ラベルNo
7669	Generic Label No
7670	通用标签No
7671	汎用No
7672	Generic No.
7673	通用No
7692	バラ数
7693	Piece Qty
7694	散件数
7698	出庫ロケ
7699	Pick Loc
7700	出库库位
7701	先ロケ
7702	From Loc
7703	抵达库位
7704	入庫ロケ
7705	Put-away Loc
7706	入库库位
7719	追跡No/梱包No
7720	Tracking No./Packing No.
7721	货物追迹No./出货捆包No.
7722	ケースピッキング
7723	Case Picking
7724	箱拣品
7932	入荷管理
7933	Receiving
7934	收货管理
7935	出荷管理
7936	Shipping
7937	发货管理
7938	棚卸管理
7939	Inventory Count
7940	盘点管理
7941	運用管理
7942	Operation
7943	运用管理
7944	送信
7945	Send
7946	送信
7947	戻る
7948	Back
7949	返回
7950	次
7951	Next
7952	次
7953	前
7954	Prev.
7955	前
7956	在庫区分選択
7957	Select Inventory Class
7958	库存区分选择
7959	在庫検索
7960	Inventory Search
7961	库存检索
7962	在庫検索(一覧)
7963	Inventory List
7964	库存检索(一览)
7965	在庫移動(出庫)
7966	Transfer Out
7967	库存移动出库
7968	在庫移動(入庫)
7969	Transfer In
7970	库存移动入库
7971	入荷検品格納
7972	Put-away Inspection
7973	收货检品上架
7974	予定無し入荷
7975	Quick Receiving
7976	无预定收货
7977	積込検品
7978	Loading Inspection
7979	装载检品
7980	シリアル登入
7981	Input Serial (Rcv)
7982	序列登入
7983	シリアル登出
7984	Input Serial (Shp)
7985	序列登出
7986	商品棚卸入力
7987	Item Inv. Count Input
7988	商品盘点输入
7989	ロケ変更
7990	Location Transfer
7991	库位变更
7992	ロケ一括変更
7993	Bulk Location Transfer
7994	库位批量变更
7995	プリンタ選択
7996	Select Printer
7997	打印选择
7998	いいえ
7999	No
8000	否
8001	はい
8002	Yes
8003	是
8004	致命的エラー
8005	Fatal Error
8006	致命的错误
8007	終了
8008	End
8009	终了
8010	継続
8011	Continue
8012	继续
8013	削除しますか？
8014	Delete?
8015	要删除吗？
8016	中断しますか？
8017	Suspend?
8018	要中断吗？
8019	入力補助
8020	Input Breakdown
8021	输入辅助
8022	商品荷姿
8023	Item UOM
8024	商品包装
8025	OK
8026	OK
8027	OK
8028	[0]([1])
8029	[0]([1])
8030	[0]([1])
8031	入荷検品(数量)
8032	Receiving Inspection (Qty)
8033	收货检品(数量)
8034	…
8035	…
8036	…
8037	一覧
8038	List
8039	一览
8040	内訳
8041	Breakdown
8042	明细
8056	Not subject to
8059	Subject to
8061	ロケ変更を
8062	End Location Transfer?
8063	库位变更
8064	終了しますか？
8065	 
8066	要终了吗？
8067	在庫移動入庫を
8068	End Inventory Transfer In?
8069	库存移动入库
8070	続けて入庫作業し
8071	Continue to Inventory Transfer In?
8072	继续入库作业
8073	ますか？
8074	 
8075	做吗？
8076	在庫移動出庫を
8077	End Inventory Transfer Out?
8078	库存移动出库
8079	中断データが
8080	Suspended data
8081	中断数据
8082	存在します。
8083	exists.
8084	存在。
8085	再開しますか？
8086	Resume?
8087	要再开吗？
8088	再開
8089	Resume
8090	再开
8091	再開します。
8092	Resuming
8093	再开。
8094	在庫移動入庫(終了)
8095	Transfer In (End)
8096	在库移动入库(终了)
8097	在庫移動出庫(終了)
8098	Transfer Out (End)
8099	在库移动出库(终了)
8100	在庫移動出庫(確認)
8101	Transfer Out (Confirm)
8102	在库移动出库(确认)
8103	入数内訳
8104	Unit Qty Breakdown
8105	入数明细
8106	予定単位
8107	Plan Unit
8108	预定单位
8109	予定内訳
8110	Plan Breakdown
8111	预定明细
8112	入庫単位
8113	Put-away Unit
8114	入库单位
8115	入庫内訳
8116	Put-away Breakdown
8117	入库明细
8118	棚卸前内訳
8119	Pre-Inventory Count Breakdown
8120	盘点前明细
8121	調整前総数荷姿
8122	Pre-adjustment Qty UOM
8123	调整前总数包装
8124	調整後総数荷姿
8125	Post-adjustment Qty UOM
8126	调整后总数包装
8127	調整総数荷姿
8128	Adjustment Qty UOM
8129	调整总数包装
8130	商品数
8131	Item Qty
8132	商品数
8133	ロケ変更(出庫ロケ)
8134	Location Transfer (From)
8135	库位变更(出库库位)
8136	ロケ変更(一覧)
8137	Location Transfer (List)
8138	库位变更(一览)
8139	ロケ変更(入庫ロケ)
8140	Location Transfer (To)
8141	库位变更(入库库位)
8142	ロケ変更(確認)
8143	Location Transfer (Confirm)
8144	库位变更(确认)
8145	データを登録します。
8146	Process is completed.
8147	数据登陆了。
8148	よろしいですか？
8149	Register this data?
8150	可以吗？
8151	ロケ変更(終了)
8152	Location Transfer (End)
8153	库位变更(终了)
8154	ｽｷｯﾌﾟ
8155	Skip
8156	跳过
8157	ケースピッキングを
8158	End Case Picking?
8159	箱分拣
8160	ピッキングNo
8161	Picking No.
8162	分拣No
8163	ケースピック(No)
8164	Case Pick (No)
8165	箱分拣(No)
8166	ケースピック(ｿｰｽCD)
8167	Case Pick (UPC)
8168	箱分拣(代码No)
8169	ケースピック(入庫No)
8170	Case Pick (Receiving No.)
8171	箱分拣(入库No)
8172	ケースピック(数量)
8173	Case Pick (Qty)
8174	箱分拣(数量)
8175	ケースピック(一覧)
8176	Case Pick (List)
8177	箱分拣(一览)
8178	ケースピック(終了)
8179	Case Pick (End)
8180	箱分拣(终了)
8181	選択後、[ENT]で確定
8182	Press [ENT] to confirm
8183	选择后，用[ENT]确定
8184	積込検品(確認)
8185	Loading Inspection (Confirm)
8186	装载检品(确认)
8187	積込検品(一覧)
8188	Loading Inspection (List)
8189	装载检品(一览)
8190	配送コース選択
8191	Select Service Level
8192	配送路线选择
8193	積込検品(終了)
8194	Loading Inspection (End)
8195	装载检品(终了)
8196	積込検品(No)
8197	Loading Inspection (No)
8198	装载检品(No)
8199	の積込検品が
8200	Loading Inspection is complete.
8201	的装载检品
8202	終了しました。
8203	 
8204	已终了。
8205	積込検品を
8206	End Loading Inspection?
8207	装载检品
8208	使用した荷材CDを
8209	Enter the used Box Code
8210	使用的荷材CD
8211	入力してください。
8212	 
8213	请输入。
8214	決定
8215	Confirm
8216	决定
8217	出荷検品キャンセル
8218	Cancel Shipping Inspection?
8219	发货检品取消
8220	しますか？
8221	 
8222	做吗？
8223	合計個口数
8224	Packed Qty
8225	合计个体数
8226	中断
8227	Suspend
8228	中断
8229	総個口数
8230	Packed Qty
8231	总个体数
8232	シリアル登出を
8233	End Input Serial (Shipping)?
8234	序列登出
8235	出荷検品(箱登録)
8236	Shipping Inspection (Box)
8237	发货检品(箱登陆)
8238	出荷検品(終了)
8239	Shipping Inspection (End)
8240	发货检品(终了)
8241	出荷検品(ｿｰｽCD)
8242	Shipping Inspection (UPC)
8243	发货检品(代码CD)
8244	出荷検品(一覧)
8245	Shipping Inspection (List)
8246	发货检品(一览)
8247	出荷検品(数量)
8248	Shipping Inspection (Qty)
8249	发货检品(数量)
8250	出荷検品(確認)
8251	Shipping Inspection (Confirm)
8252	发货检品(确认)
8253	出荷検品(No)
8254	Shipping Inspection (No)
8255	发货检品(No)
8256	ｼﾘｱﾙ登出(終了)
8257	Input Shp Serial (End)
8258	序列登出(终了)
8259	ｼﾘｱﾙ登出(ｿｰｽCD)
8260	Input Shp Serial (UPC)
8261	序列登出(代码CD)
8262	ｼﾘｱﾙ登出(範囲)
8263	Input Shp Serial (Range)
8264	序列登出(范围)
8265	ｼﾘｱﾙ登出(確認)
8266	Input Shp Serial (Confirm)
8267	序列登出(确认)
8268	ｼﾘｱﾙｸﾘｱ確認
8269	Confirm Serial Clear
8270	序列清空确认
8271	ｼﾘｱﾙ登出(ｼﾘｱﾙ)
8272	Input Shp Serial (Serial)
8273	序列登出(序列)
8274	納品先選択
8275	Select Ship-To
8276	收货方选择
8277	ｼﾘｱﾙ登出(No)
8278	Input Shp Serial (No)
8279	序列登出(No)
8280	ｽﾀｰﾄｼﾘｱﾙ
8281	Start Serial
8282	开始序列
8283	ｼﾘｱﾙ
8284	Serial
8285	序列
8286	入力したシリアルを
8287	Clear the
8288	输入的序列
8289	クリアしますか？
8290	entered serial?
8291	要清空吗？
8292	範囲
8293	Range
8294	范围
8295	オーダピッキングを
8296	End Order Picking?
8297	订单分拣
8298	オーダピック(No)
8299	Order Pick (No)
8300	订单分拣(No)
8301	オーダピック(入庫No)
8302	Order Pick (Receiving No.)
8303	订单分拣(入库No)
8304	オーダピック(確認)
8305	Order Pick (Confirm)
8306	订单分拣(确认)
8307	オーダピック(数量)
8308	Order Pick (Qty)
8309	订单分拣(数量)
8310	オーダピック(一覧)
8311	Order Pick (List)
8312	订单分拣(一览)
8313	オーダピック(終了)
8314	Order Pick (End)
8315	订单分拣(终了)
8316	オーダピック(ｿｰｽCD)
8317	Order Pick (UPC)
8318	订单分拣(代码CD)
8319	移動入庫(ｿｰｽCD)
8320	Inventory Transfer (UPC)
8321	移动入库(代码CD)
8322	移動入庫(入庫No)
8323	Inventory Transfer (Receiving No.)
8324	移动入库(入库No)
8325	移動入庫(ロケ)
8326	Inventory Transfer (Location)
8327	移动入库(库位)
8328	移動入庫(選択)
8329	Inventory Transfer (Select)
8330	移动入库(选择)
8331	移動入庫確認
8332	Confirm Inventory Transfer
8333	移动入库确认
8334	プリンタ選択を
8335	Cancel printer selection?
8336	打印选择
8337	キャンセルしますか？
8338	 
8339	要取消吗？
8340	トレイ
8341	Tray
8342	支架
8343	Pｸﾞﾙｰﾌﾟ
8344	Prnt Grp
8345	P组
8346	ﾌﾟﾘﾝﾀ
8347	Printer
8348	打印
8349	帳票L
8350	Report L.
8351	帐票L
8352	同じ帳票レイアウトが
8353	This report layout is already
8354	相同帐票布局
