MESSAGE_ID	MESSAGE_NM
26	[0]は数字8桁の日付(yyyyMMdd)を入力してください。
27	[0]は小数[1]桁以下で入力してください。
86	[0]は英字と-のみ入力可能です。
87	[0]は英数字と-のみ入力可能です。
88	[0]は英数字と記号のみ入力可能です。
89	[0]は英数字のみ入力可能です。
90	[0]は英字のみ入力可能です。
91	[0]は全角文字のみ入力可能です。
92	[0]は半角文字のみ入力可能です。
93	[0]は数字と-のみ入力可能です。
94	[0]は数値のみ入力可能です。
95	[0]は時刻のみ(HH:MM:SS)入力可能です。
96	[0]は時刻のみ入力可能です。
98	[0]は整数で入力してください。
99	[0]は整数[1]桁以下で入力してください。
121	[0]は[1]以下で入力してください。
124	[0]は[1]文字以下で入力してください。
130	[0]は[1]以上で入力してください。
132	[0]は[1]文字以上で入力してください。
174	[0]を入力してください。
507	選択した預託の荷主が選択されていません。
604	対象の追跡Noは積込検品済です。
605	選択した拠点ーと荷主を使う権限がありません。管理者に連絡してください。
606	中断データが存在します再開しますか？
607	検品未完了のデータは削除できません。
608	納品先は出荷指示に存在しません。
609	該当データが存在しません。
610	日付の入力が不正です(形式:YYYYMMDD)。
611	配送コースCDが異なります。確認して下さい。
612	預託が選択されていません。
613	エラーの伝票Noです。
614	使用する荷材CDを入力してください。
615	該当の棚卸データは全て在庫調整済のため、棚卸入力できません。
616	銘柄が異なります。
617	該当のアイテムの指示数を超えています。
618	銘柄をスキャンして下さい。
619	該当のアイテムの数量を超えています。
620	該当のアイテムの数量が不足です。
621	該当のアイテムの残数を超えています。
622	完了時、ソースCDをクリアして下さい。
623	仮ロケは入庫仮ロケーションを入力してください。
624	ロケーションまたはソースCDまたは入庫ラベルNo.を入力してください。
625	ログインできません。再度入力してください。
626	選択した拠点ーを使う権限がありません。管理者に連絡してください。
627	選択した荷主を使う権限がありません。管理者に連絡してください。
628	メニューの設定を確認してください。
629	棚卸データ未作成。
630	出庫ロケと入庫ロケが同一です。
631	対象の出庫作業Noが削除されました。
632	出荷梱包Noを入力して下さい。
633	すでに登録されています。
