CENTER_CLASS_ID	CENTER_ID	CLASS_CD	CLASS_COMMENT	SYSTEM_TYPE
39	100008	PIC_LIST_CLS1	一次ピッキングリスト	wms
40	100008	PIC_LIST_CLS2	二次ピッキングリスト	wms
41	100008	PIC_LIST_CLS3	送り状・荷札	wms
42	100008	SAGAWA_DELIV_TZ	佐川配達時間帯	wms
43	100008	TRANSPORT_TYPE_ITEM	便種(商品)	wms
44	100008	SLIP_SHAPE_CD	荷姿コード	wms
45	100008	TRANSPORT_TYPE_SPEED	便種(スピードで選択)	wms
46	100008	SEAL_TYPE	指定シール	wms
47	100008	TAG_CLASS	データ種別	wms
48	100008	TAG_DATA_TYPE	送り状データ種別	wms
49	100008	TAG_TYPE	送り状種別	wms
50	100008	TAG_TYPE_AFTER	送り状種別(代引時、2枚目以降)	wms
51	100008	API_BINSYU_CODE	WebAPI便種コード	wms
52	100008	API_DAIBIKI_FLG	WebAPI代引フラグ	wms
53	100008	API_DAIBIKI_TYPE	WebAPI代引支払方法区分	wms
54	100008	API_EIDOME_FLG	WebAPI営止フラグ	wms
55	100008	API_WEIGHT_CD	WebAPI重量コード	wms
56	100008	OUTPUT_TARGET_FLG	発行対象のみ表示	wms
57	100008	PRINT_CONDITION	未発行のみ表示	wms
