CENTER_CLASS_DTL_ID	CENTER_CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
201	39	0	1153	1	1
202	39	1	1157	2	0
203	39	4	1534	3	0
204	39	5	1535	4	0
205	39	6	3241	5	0
206	40	2	1154	1	1
207	40	3	1156	2	0
208	41	1	2140	1	1
209	41	2	2141	2	0
210	41	3	2142	3	0
211	41	4	2143	4	0
212	41	5	2144	5	0
213	41	6	2145	6	0
214	41	7	2146	7	0
215	42	01	1814	1	0
216	42	04	1819	7	0
217	42	12	1815	2	0
218	42	14	1816	3	0
219	42	16	1817	4	0
220	42	18	1818	5	0
221	42	19	1820	6	0
222	43	001	2023	1	0
223	43	002	2024	2	0
224	43	003	2025	3	0
225	44	001	2009	1	0
226	44	002	2010	2	0
227	44	003	2011	3	0
228	44	004	2012	4	0
229	44	005	2013	5	0
230	44	006	2014	6	0
231	44	007	2015	7	0
232	44	008	2016	8	0
233	45	000	2017	1	0
234	45	001	2018	2	0
235	45	002	2019	3	0
236	45	003	2020	4	0
237	45	004	2021	5	0
238	45	005	2022	6	0
239	46	001	2024	1	0
240	46	002	2025	2	0
241	46	003	2018	3	0
242	46	004	2029	4	0
243	46	005	2030	5	0
244	46	007	2031	6	0
245	46	008	2032	7	0
246	46	009	2033	8	0
247	46	010	2034	9	0
248	46	011	2035	10	0
249	46	012	2036	11	0
250	46	013	2037	12	0
251	46	014	2019	13	0
252	46	016	2038	14	0
253	46	017	2039	15	0
254	46	018	2022	16	0
255	46	019	2040	17	0
256	47	01	1962	1	1
257	47	02	1963	2	0
258	47	11	1964	3	0
259	47	12	1965	4	0
260	47	21	1966	5	0
261	47	22	1967	6	0
262	48	1	2131	1	1
263	48	2	2132	2	0
264	48	3	2133	3	0
265	48	4	2134	4	0
266	48	5	2135	5	0
267	48	6	2136	6	0
268	48	7	2137	7	0
269	49	1	2125	1	1
270	49	2	2126	2	0
271	49	3	2127	3	0
272	49	4	2128	4	0
273	49	5	2129	5	0
274	49	6	2130	6	0
275	50	1	2125	1	1
276	50	2	2126	2	0
277	50	3	2127	3	0
278	50	4	2128	4	0
279	50	5	2129	5	0
280	50	6	2130	6	0
281	51	000	2153	1	0
282	51	030	2154	2	0
283	51	140	2008	3	0
284	51	141	2155	4	0
285	51	150	2007	5	0
286	51	151	2156	6	0
287	52	0	2157	1	0
288	52	1	2158	2	0
289	53	0	2159	1	0
290	53	1	2160	2	0
291	53	2	2161	3	0
292	54	0	2167	1	0
293	54	1	2168	2	0
294	55	60	2162	1	0
295	55	80	2163	2	0
296	55	100	2164	3	0
297	55	140	2165	4	0
298	55	160	2166	5	0
299	56	1	3154	1	0
300	57	1	3141	1	0
